strain	strain_name	segment	date	host	country	subtype	virus_species	hpiv_subtype
MT063591	PREDICT_KHAH0768	NA	2018-XX-XX	Human	Cambodia	NA	Human_respirovirus_1	HPIV1
MH684389	HPIV1/Zagreb.HR/52.17_3091_	NA	2017-12-27	Human	Croatia	NA	Human_respirovirus_1	HPIV1
MH684402	HPIV1/Zagreb.HR/40.17_2264__+1	NA	2017-10-01	Human	Croatia	NA	Human_respirovirus_1	HPIV1
KC577216	MBAGATHI/08/10/15	NA	2008-10-XX	Human	Kenya	NA	Human_respirovirus_1	HPIV1
MH684379	HPIV1/Zagreb.HR/48.15_1806_	NA	2015-11-26	Human	Croatia	NA	Human_respirovirus_1	HPIV1
LC486561	HPIV1s/SaitamaC.JPN/15_655	NA	2015-XX-XX	Human	Japan	NA	Human_respirovirus_1	HPIV1
KX912726	MY_U3313/14	NA	2014-01-03	Human	Malaysia	NA	Human_respirovirus_1	HPIV1
LC486564	HPIV1s/SaitamaC.JPN/16_435	NA	2016-XX-XX	Human	Japan	NA	Human_respirovirus_1	HPIV1
MT063695	PREDICT_INAH0002	NA	2017-XX-XX	Human	India	NA	Human_respirovirus_1	HPIV1
MT063686	PREDICT_INAH0002	NA	2017-XX-XX	Human	India	NA	Human_respirovirus_1	HPIV1
MH684387	HPIV1/Zagreb.HR/8.16_33_	NA	2016-02-25	Human	Croatia	NA	Human_respirovirus_1	HPIV1
JQ901974	HPIV1/WI/629_005/1997	NA	1997-09-25	Human	USA	NA	Human_respirovirus_1	HPIV1
MH684385	HPIV1/Zagreb.HR/49.13_1768_	NA	2013-12-01	Human	Croatia	NA	Human_respirovirus_1	HPIV1
MH684390	HPIV1/Zagreb.HR/47.17_2715_	NA	2017-11-24	Human	Croatia	NA	Human_respirovirus_1	HPIV1
MH684404	HPIV1/Zagreb.HR/44.17_2512_	NA	2017-11-02	Human	Croatia	NA	Human_respirovirus_1	HPIV1
MN488698	UNKNOWN_MN488698	NA	2007-11-20	Human	Netherlands	NA	Human_respirovirus_1	HPIV1
MW654397	GER/5726/16_17	NA	2017-09-14	Human	Germany	NA	Human_respirovirus_1	HPIV1
MW654417	GER/0020/13_14	NA	2013-10-01	Human	Germany	NA	Human_respirovirus_1	HPIV1
KX912714	MY_U1048/12	NA	2012-08-27	Human	Malaysia	NA	Human_respirovirus_1	HPIV1
LC486548	HPIV1s/SaitamaC.JPN/12_241	NA	2012-XX-XX	Human	Japan	NA	Human_respirovirus_1	HPIV1
MW654401	GER/4794/18_19	NA	2019-09-16	Human	Germany	NA	Human_respirovirus_1	HPIV1
MH684370	HPIV1/Zagreb.HR/21.11_10300_	NA	2011-05-20	Human	Croatia	NA	Human_respirovirus_1	HPIV1
LC486550	HPIV1s/SaitamaC.JPN/13_235	NA	2013-XX-XX	Human	Japan	NA	Human_respirovirus_1	HPIV1
MW654390	GER/5650/16_17	NA	2017-08-31	Human	Germany	NA	Human_respirovirus_1	HPIV1
MH684380	HPIV1/Zagreb.HR/40.13_1427_	NA	2013-09-30	Human	Croatia	NA	Human_respirovirus_1	HPIV1
LC486570	HPIV1s/SaitamaC.JPN/17_727	NA	2017-XX-XX	Human	Japan	NA	Human_respirovirus_1	HPIV1
MW654394	GER/1692/17_18	NA	2018-01-08	Human	Germany	NA	Human_respirovirus_1	HPIV1
KX912730	MY_U3590/14	NA	2014-03-03	Human	Malaysia	NA	Human_respirovirus_1	HPIV1
LC486567	HPIV1s/SaitamaC.JPN/16_647	NA	2016-XX-XX	Human	Japan	NA	Human_respirovirus_1	HPIV1
MW654406	GER/4778/18_19	NA	2019-09-12	Human	Germany	NA	Human_respirovirus_1	HPIV1
KX912718	MY_U1401/12	NA	2012-11-05	Human	Malaysia	NA	Human_respirovirus_1	HPIV1
JQ902006	HPIV1/WI/629_D01250/2009	NA	2009-12-04	Human	USA	NA	Human_respirovirus_1	HPIV1
MW654422	GER/0197/15_16	NA	2015-10-20	Human	Germany	NA	Human_respirovirus_1	HPIV1
LC486576	HPIV1s/SaitamaC.JPN/18_518	NA	2018-XX-XX	Human	Japan	NA	Human_respirovirus_1	HPIV1
KC577221	MBAGATHI/10/02/20	NA	2010-02-XX	Human	Kenya	NA	Human_respirovirus_1	HPIV1
MW654416	GER/5815/16_17	NA	2017-09-25	Human	Germany	NA	Human_respirovirus_1	HPIV1
MH006622	HPIV1/VietNam/067/2010	NA	2010-06-02	Human	Viet_Nam	NA	Human_respirovirus_1	HPIV1
LC486551	HPIV1s/SaitamaC.JPN/13_248	NA	2013-XX-XX	Human	Japan	NA	Human_respirovirus_1	HPIV1
LC486543	HPIV1s/SaitamaC.JPN/12_178	NA	2012-XX-XX	Human	Japan	NA	Human_respirovirus_1	HPIV1
MT063588	PREDICT_KHAH0740	NA	2018-XX-XX	Human	Cambodia	NA	Human_respirovirus_1	HPIV1
MT063271	PREDICT_THAH17032	NA	2017-XX-XX	Human	Thailand	NA	Human_respirovirus_1	HPIV1
MW654385	GER/4426/18_19	NA	2019-06-18	Human	Germany	NA	Human_respirovirus_1	HPIV1
MW654444	GER/2263/15_16	NA	2016-02-22	Human	Germany	NA	Human_respirovirus_1	HPIV1
KX912704	MY_U226/12	NA	2012-03-31	Human	Malaysia	NA	Human_respirovirus_1	HPIV1
MH684401	HPIV1/Zagreb.HR/38.17_2211__+1	NA	2017-09-23	Human	Croatia	NA	Human_respirovirus_1	HPIV1
LC486544	HPIV1s/SaitamaC.JPN/12_188	NA	2012-XX-XX	Human	Japan	NA	Human_respirovirus_1	HPIV1
MH006619	HPIV1/VietNam/062/2010	NA	2010-01-27	Human	Viet_Nam	NA	Human_respirovirus_1	HPIV1
MH684375	HPIV1/Zagreb.HR/46.17_2637_	NA	2017-11-15	Human	Croatia	NA	Human_respirovirus_1	HPIV1
MH684377	HPIV1/Zagreb.HR/48.13_1751_	NA	2013-11-28	Human	Croatia	NA	Human_respirovirus_1	HPIV1
KC577212	MBAGATHI/08/09/11	NA	2008-09-XX	Human	Kenya	NA	Human_respirovirus_1	HPIV1
MT063484	PREDICT_INAH0036	NA	2017-XX-XX	Human	India	NA	Human_respirovirus_1	HPIV1
MW654434	GER/0674/15_16	NA	2015-11-30	Human	Germany	NA	Human_respirovirus_1	HPIV1
KX912721	MY_U2946/13	NA	2013-10-23	Human	Malaysia	NA	Human_respirovirus_1	HPIV1
JQ901992	HPIV1/WI/629_D01202/2009	NA	2009-10-06	Human	USA	NA	Human_respirovirus_1	HPIV1
MH684407	HPIV1/Zagreb.HR/47.17_2664_	NA	2017-11-20	Human	Croatia	NA	Human_respirovirus_1	HPIV1
LC486575	HPIV1s/SaitamaC.JPN/18_503	NA	2018-XX-XX	Human	Japan	NA	Human_respirovirus_1	HPIV1
MH685717	E0_033	NA	2013-XX-XX	Human	Uganda	NA	Human_respirovirus_1	HPIV1
JQ901986	HPIV1/WI/629_D01681/2009	NA	2009-09-29	Human	USA	NA	Human_respirovirus_1	HPIV1
JQ902001	HPIV1/WI/629_D01790/2009	NA	2009-11-07	Human	USA	NA	Human_respirovirus_1	HPIV1
MW654398	GER/5622/16_17	NA	2017-08-29	Human	Germany	NA	Human_respirovirus_1	HPIV1
MT063359	PREDICT_THAH18162	NA	2018-XX-XX	Human	Thailand	NA	Human_respirovirus_1	HPIV1
MN488680	UNKNOWN_MN488680	NA	2007-05-02	Human	Netherlands	NA	Human_respirovirus_1	HPIV1
MW654429	GER/0475/15_16	NA	2015-11-17	Human	Germany	NA	Human_respirovirus_1	HPIV1
KC577207	MBAGATHI/08/04/05	NA	2008-04-XX	Human	Kenya	NA	Human_respirovirus_1	HPIV1
KX912727	MY_U3344/14	NA	2014-01-08	Human	Malaysia	NA	Human_respirovirus_1	HPIV1
LC486541	HPIV1s/SaitamaC.JPN/12_126	NA	2012-XX-XX	Human	Japan	NA	Human_respirovirus_1	HPIV1
MW654415	GER/5830/16_17	NA	2017-09-25	Human	Germany	NA	Human_respirovirus_1	HPIV1
LC710553	HPIV1/Tokyo/21152/2021-XX-XX	NA	2021-XX-XX	Human	Japan	Type_1	Human_respirovirus_1	HPIV1
JQ901997	HPIV1/WI/629_D01900/2009	NA	2009-10-21	Human	USA	NA	Human_respirovirus_1	HPIV1
KY674967	HPIV1/Seattle/USA/12S10/2016-XX-XX	NA	2016-XX-XX	Human	USA	NA	Human_respirovirus_1	HPIV1
MW654427	GER/0342/15_16	NA	2015-11-05	Human	Germany	NA	Human_respirovirus_1	HPIV1
KX912722	MY_U2971/13	NA	2013-10-28	Human	Malaysia	NA	Human_respirovirus_1	HPIV1
KX912717	MY_U1241/12	NA	2012-10-04	Human	Malaysia	NA	Human_respirovirus_1	HPIV1
KY674973	HPIV1/Seattle/USA/16A6/2016-XX-XX	NA	2016-XX-XX	Human	USA	NA	Human_respirovirus_1	HPIV1
KY967353	HPIV1/Seattle/USA/10F7/2015-XX-XX	NA	2015-XX-XX	Human	USA	NA	Human_respirovirus_1	HPIV1
MK167043	HPIV1/Los_Angeles/USA/CHLA36/2016-XX-XX	NA	2016-XX-XX	Human	USA	NA	Human_respirovirus_1	HPIV1
MW654404	GER/0200/16_17	NA	2016-10-24	Human	Germany	NA	Human_respirovirus_1	HPIV1
MW654448	GER/0236/15_16	NA	2015-10-26	Human	Germany	NA	Human_respirovirus_1	HPIV1
KC577209	MBAGATHI/08/04/08	NA	2008-04-XX	Human	Kenya	NA	Human_respirovirus_1	HPIV1
MH684397	HPIV1/Zagreb.HR/49.17_2841_	NA	2017-12-05	Human	Croatia	NA	Human_respirovirus_1	HPIV1
LC486549	HPIV1s/SaitamaC.JPN/13_210	NA	2012-XX-XX	Human	Japan	NA	Human_respirovirus_1	HPIV1
MT063469	PREDICT_INAH0007	NA	2017-XX-XX	Human	India	NA	Human_respirovirus_1	HPIV1
MW654403	GER/5787/16_17	NA	2017-09-19	Human	Germany	NA	Human_respirovirus_1	HPIV1
JQ901981	HPIV1/WI/629_010/1999	NA	1999-03-05	Human	USA	NA	Human_respirovirus_1	HPIV1
KX912715	MY_U1105/12	NA	2012-09-05	Human	Malaysia	NA	Human_respirovirus_1	HPIV1
MH684408	HPIV1/Zagreb.HR/1.18_58_	NA	2018-01-04	Human	Croatia	NA	Human_respirovirus_1	HPIV1
JQ902008	HPIV1/WI/629_D01774/2009	NA	2009-10-03	Human	USA	NA	Human_respirovirus_1	HPIV1
MT063320	PREDICT_THAH18148	NA	2018-XX-XX	Human	Thailand	NA	Human_respirovirus_1	HPIV1
MH684406	HPIV1/Zagreb.HR/46.17_2606_	NA	2017-11-13	Human	Croatia	NA	Human_respirovirus_1	HPIV1
LC720862	PIV1_Fukushima_O81_2018-XX-XX	NA	2018-XX-XX	Human	Japan	NA	Human_respirovirus_1	HPIV1
MW654432	GER/0604/15_16	NA	2015-11-23	Human	Germany	NA	Human_respirovirus_1	HPIV1
MW654449	GER/0773/13_14	NA	2013-12-10	Human	Germany	NA	Human_respirovirus_1	HPIV1
MH828705	vzhpiv13	NA	2015-03-31	Human	Viet_Nam	NA	Human_respirovirus_1	HPIV1
MH684391	HPIV1/Zagreb.HR/49.11_18614_	NA	2011-12-06	Human	Croatia	NA	Human_respirovirus_1	HPIV1
LC486558	HPIV1s/SaitamaC.JPN/15_354	NA	2015-XX-XX	Human	Japan	NA	Human_respirovirus_1	HPIV1
KC577222	MBAGATHI/10/03/21	NA	2010-03-XX	Human	Kenya	NA	Human_respirovirus_1	HPIV1
MN488682	UNKNOWN_MN488682	NA	2007-12-04	Human	Netherlands	NA	Human_respirovirus_1	HPIV1
MT063321	PREDICT_THAH18149	NA	2018-XX-XX	Human	Thailand	NA	Human_respirovirus_1	HPIV1
MN488678	UNKNOWN_MN488678	NA	2008-03-25	Human	Netherlands	NA	Human_respirovirus_1	HPIV1
MW654433	GER/0608/15_16	NA	2015-11-24	Human	Germany	NA	Human_respirovirus_1	HPIV1
JQ901985	HPIV1/WI/629_001/2009-XX-XX	NA	2009-XX-XX	Human	USA	NA	Human_respirovirus_1	HPIV1
KX912711	MY_U597/12	NA	2012-06-01	Human	Malaysia	NA	Human_respirovirus_1	HPIV1
MH684368	HPIV1/Zagreb.HR/40.17_2302_	NA	2017-10-04	Human	Croatia	NA	Human_respirovirus_1	HPIV1
LC486560	HPIV1s/SaitamaC.JPN/15_445	NA	2015-XX-XX	Human	Japan	NA	Human_respirovirus_1	HPIV1
LC486553	HPIV1s/SaitamaC.JPN/14_487	NA	2014-XX-XX	Human	Japan	NA	Human_respirovirus_1	HPIV1
MT063440	PREDICT_BDAH0580	NA	2018-XX-XX	Human	Bangladesh	NA	Human_respirovirus_1	HPIV1
MW654402	GER/5614/16_17	NA	2017-08-28	Human	Germany	NA	Human_respirovirus_1	HPIV1
MW654425	GER/0291/15_16	NA	2015-11-02	Human	Germany	NA	Human_respirovirus_1	HPIV1
MH006618	HPIV1/VietNam/061/2009	NA	2009-06-10	Human	Viet_Nam	NA	Human_respirovirus_1	HPIV1
MH684376	HPIV1/Zagreb.HR/37.17_2132_	NA	2017-09-10	Human	Croatia	NA	Human_respirovirus_1	HPIV1
MH684384	HPIV1/Zagreb.HR/4.16_30_	NA	2016-01-29	Human	Croatia	NA	Human_respirovirus_1	HPIV1
KC577217	MBAGATHI/08/11/16	NA	2008-11-XX	Human	Kenya	NA	Human_respirovirus_1	HPIV1
MT063463	PREDICT_RWAH0173	NA	2017-XX-XX	Human	Rwanda	NA	Human_respirovirus_1	HPIV1
KX912706	MY_U370/12	NA	2012-04-25	Human	Malaysia	NA	Human_respirovirus_1	HPIV1
MG773273	HPIV1/BuenosAires/ARG/001/2016	NA	2016-04-27	Human	Argentina	NA	Human_respirovirus_1	HPIV1
JQ902003	HPIV1/WI/629_D01145/2009	NA	2009-11-23	Human	USA	NA	Human_respirovirus_1	HPIV1
MW654405	GER/4679/18_19	NA	2019-08-05	Human	Germany	NA	Human_respirovirus_1	HPIV1
MH006614	HPIV1/VietNam/002/2009	NA	2009-02-10	Human	Viet_Nam	NA	Human_respirovirus_1	HPIV1
MG255129	HPIV1	NA	2017-08-08	Human	South_Korea	NA	Human_respirovirus_1	HPIV1
KX912728	MY_U3525/14	NA	2014-02-17	Human	Malaysia	NA	Human_respirovirus_1	HPIV1
KY674940	HPIV1/Seattle/USA/9P4/2016-XX-XX	NA	2016-XX-XX	Human	USA	NA	Human_respirovirus_1	HPIV1
LC486568	HPIV1s/SaitamaC.JPN/17_411	NA	2017-XX-XX	Human	Japan	NA	Human_respirovirus_1	HPIV1
MW654421	GER/0168/13_14	NA	2013-10-21	Human	Germany	NA	Human_respirovirus_1	HPIV1
MN488681	UNKNOWN_MN488681	NA	2007-11-20	Human	Netherlands	NA	Human_respirovirus_1	HPIV1
MW654430	GER/0505/15_16	NA	2015-11-16	Human	Germany	NA	Human_respirovirus_1	HPIV1
JQ902005	HPIV1/WI/629_D02209/2009	NA	2009-11-30	Human	USA	NA	Human_respirovirus_1	HPIV1
MT063696	PREDICT_INAH0012	NA	2017-XX-XX	Human	India	NA	Human_respirovirus_1	HPIV1
MW654441	GER/1254/13_14	NA	2014-01-20	Human	Germany	NA	Human_respirovirus_1	HPIV1
KX912708	MY_U479/12	NA	2012-05-11	Human	Malaysia	NA	Human_respirovirus_1	HPIV1
MT063318	PREDICT_THAH18140	NA	2018-XX-XX	Human	Thailand	NA	Human_respirovirus_1	HPIV1
MT063319	PREDICT_THAH18140	NA	2018-XX-XX	Human	Thailand	NA	Human_respirovirus_1	HPIV1
LC654457	NIID_79081_1_2019	NA	2017-11-29	Human	USA	NA	Human_respirovirus_1	HPIV1
JQ901973	HPIV1/WI/629_004/1997	NA	1997-09-24	Human	USA	NA	Human_respirovirus_1	HPIV1
KC577205	MBAGATHI/07/07/02	NA	2007-07-XX	Human	Kenya	NA	Human_respirovirus_1	HPIV1
MT063699	PREDICT_INAH0043	NA	2017-XX-XX	Human	India	NA	Human_respirovirus_1	HPIV1
JQ901988	HPIV1/WI/629_D01662/2009	NA	2009-09-29	Human	USA	NA	Human_respirovirus_1	HPIV1
KX912710	MY_U573/12	NA	2012-05-30	Human	Malaysia	NA	Human_respirovirus_1	HPIV1
MT063366	PREDICT_THAH18170	NA	2018-XX-XX	Human	Thailand	NA	Human_respirovirus_1	HPIV1
JQ901980	HPIV1/WI/629_009/1997	NA	1997-12-03	Human	USA	NA	Human_respirovirus_1	HPIV1
JQ901984	HPIV1/WI/629_030/2007-XX-XX	NA	2007-XX-XX	Human	USA	NA	Human_respirovirus_1	HPIV1
MH684394	HPIV1/Zagreb.HR/39.17_2231_	NA	2017-09-26	Human	Croatia	NA	Human_respirovirus_1	HPIV1
LC486554	HPIV1s/SaitamaC.JPN/14_654	NA	2014-XX-XX	Human	Japan	NA	Human_respirovirus_1	HPIV1
JQ901989	HPIV1/WI/629_D00712/2009	NA	2009-10-02	Human	USA	NA	Human_respirovirus_1	HPIV1
MT063472	PREDICT_INAH0009	NA	2017-XX-XX	Human	India	NA	Human_respirovirus_1	HPIV1
MT063706	PREDICT_INAH0009	NA	2017-XX-XX	Human	India	NA	Human_respirovirus_1	HPIV1
MW654384	GER/0442/17_18	NA	2017-11-01	Human	Germany	NA	Human_respirovirus_1	HPIV1
JQ901991	HPIV1/WI/629_D01150/2009	NA	2009-10-06	Human	USA	NA	Human_respirovirus_1	HPIV1
MT063650	PREDICT_BDAH0877	NA	2018-XX-XX	Human	Bangladesh	NA	Human_respirovirus_1	HPIV1
JQ901971	ATCC_VR_94	NA	1957-XX-XX	Human	USA	NA	Human_respirovirus_1	HPIV1
MH684369	HPIV1/Zagreb.HR/50.17_2935_	NA	2017-12-13	Human	Croatia	NA	Human_respirovirus_1	HPIV1
MW654419	GER/0142/15_16	NA	2015-10-17	Human	Germany	NA	Human_respirovirus_1	HPIV1
KX912707	MY_U397/12	NA	2012-04-30	Human	Malaysia	NA	Human_respirovirus_1	HPIV1
MH684383	HPIV1/Zagreb.HR/39.11_14195_	NA	2011-09-16	Human	Croatia	NA	Human_respirovirus_1	HPIV1
MW654388	GER/1029/17_18	NA	2017-12-04	Human	Germany	NA	Human_respirovirus_1	HPIV1
MW654420	GER/0143/15_16	NA	2015-10-15	Human	Germany	NA	Human_respirovirus_1	HPIV1
MW654423	GER/0234/15_16	NA	2015-10-27	Human	Germany	NA	Human_respirovirus_1	HPIV1
KC577208	MBAGATHI/08/04/06	NA	2008-04-XX	Human	Kenya	NA	Human_respirovirus_1	HPIV1
MH006615	HPIV1/VietNam/004/2009	NA	2009-03-09	Human	Viet_Nam	NA	Human_respirovirus_1	HPIV1
JQ901990	HPIV1/WI/629_D02161/2009	NA	2009-10-03	Human	USA	NA	Human_respirovirus_1	HPIV1
JQ901977	HPIV1/WI/629_006/1997	NA	1997-11-04	Human	USA	NA	Human_respirovirus_1	HPIV1
KX912701	MY_U46/12	NA	2012-03-02	Human	Malaysia	NA	Human_respirovirus_1	HPIV1
KX912735	MY_U3909/14	NA	2014-05-16	Human	Malaysia	NA	Human_respirovirus_1	HPIV1
JQ901979	HPIV1/WI/629_007/1997	NA	1997-11-22	Human	USA	NA	Human_respirovirus_1	HPIV1
LC486566	HPIV1s/SaitamaC.JPN/16_583	NA	2016-XX-XX	Human	Japan	NA	Human_respirovirus_1	HPIV1
LC486573	HPIV1s/SaitamaC.JPN/18_442	NA	2018-XX-XX	Human	Japan	NA	Human_respirovirus_1	HPIV1
MN488679	UNKNOWN_MN488679	NA	2006-01-30	Human	Netherlands	NA	Human_respirovirus_1	HPIV1
MW654399	GER/4746/18_19	NA	2019-09-02	Human	Germany	NA	Human_respirovirus_1	HPIV1
KX912720	MY_U1541/12	NA	2012-11-26	Human	Malaysia	NA	Human_respirovirus_1	HPIV1
KX912703	MY_U194/12	NA	2012-03-26	Human	Malaysia	NA	Human_respirovirus_1	HPIV1
MW654435	GER/0720/15_16	NA	2015-11-30	Human	Germany	NA	Human_respirovirus_1	HPIV1
MW654447	GER/5805/16_17	NA	2017-09-25	Human	Germany	NA	Human_respirovirus_1	HPIV1
MH828706	vzhpiv14	NA	2014-10-16	Human	Viet_Nam	NA	Human_respirovirus_1	HPIV1
KC577215	MBAGATHI/08/10/14	NA	2008-10-XX	Human	Kenya	NA	Human_respirovirus_1	HPIV1
MW654400	GER/0846/17_18	NA	2017-11-24	Human	Germany	NA	Human_respirovirus_1	HPIV1
MW654418	GER/0122/15_16	NA	2015-10-13	Human	Germany	NA	Human_respirovirus_1	HPIV1
MH892404	t146a291_HPIV1	NA	2013-02-05	Human	Netherlands	NA	Human_respirovirus_1	HPIV1
MW654414	GER/5660/16_17	NA	2017-09-04	Human	Germany	NA	Human_respirovirus_1	HPIV1
KX912709	MY_U497/12	NA	2012-05-14	Human	Malaysia	NA	Human_respirovirus_1	HPIV1
KC577211	MBAGATHI/08/06/10	NA	2008-06-XX	Human	Kenya	NA	Human_respirovirus_1	HPIV1
KC577218	MBAGATHI/09/09/17	NA	2009-09-XX	Human	Kenya	NA	Human_respirovirus_1	HPIV1
MT063322	PREDICT_THAH18151	NA	2018-XX-XX	Human	Thailand	NA	Human_respirovirus_1	HPIV1
LC486545	HPIV1s/SaitamaC.JPN/12_192	NA	2012-XX-XX	Human	Japan	NA	Human_respirovirus_1	HPIV1
JQ901975	HPIV1/WI/629_001/1997	NA	1997-10-03	Human	USA	NA	Human_respirovirus_1	HPIV1
JQ902009	HPIV1/WI/629_D02211/2010	NA	2010-02-15	Human	USA	NA	Human_respirovirus_1	HPIV1
MH684371	HPIV1/Zagreb.HR/46.17_2605_	NA	2017-11-13	Human	Croatia	NA	Human_respirovirus_1	HPIV1
LC486572	HPIV1s/SaitamaC.JPN/18_437	NA	2018-XX-XX	Human	Japan	NA	Human_respirovirus_1	HPIV1
MH684405	HPIV1/Zagreb.HR/45.17_2582_	NA	2017-11-07	Human	Croatia	NA	Human_respirovirus_1	HPIV1
LC486557	HPIV1s/SaitamaC.JPN/14_838	NA	2014-XX-XX	Human	Japan	NA	Human_respirovirus_1	HPIV1
LC486571	HPIV1s/SaitamaC.JPN/18_266	NA	2018-XX-XX	Human	Japan	NA	Human_respirovirus_1	HPIV1
MH892403	t146a290_HPIV1	NA	2013-10-28	Human	Netherlands	NA	Human_respirovirus_1	HPIV1
KX912732	MY_U3744/14	NA	2014-04-04	Human	Malaysia	NA	Human_respirovirus_1	HPIV1
KX912736	MY_U3932/14	NA	2014-05-26	Human	Malaysia	NA	Human_respirovirus_1	HPIV1
KC577204	MBAGATHI/07/06/01	NA	2007-06-XX	Human	Kenya	NA	Human_respirovirus_1	HPIV1
JQ902007	HPIV1/WI/629_D02039/2009	NA	2009-12-10	Human	USA	NA	Human_respirovirus_1	HPIV1
LC486577	HPIV1s/SaitamaC.JPN/18_566	NA	2018-XX-XX	Human	Japan	NA	Human_respirovirus_1	HPIV1
MH828704	vzhpiv12	NA	2015-01-13	Human	Viet_Nam	NA	Human_respirovirus_1	HPIV1
KX912713	MY_U905/12	NA	2012-07-23	Human	Malaysia	NA	Human_respirovirus_1	HPIV1
JQ901995	HPIV1/WI/629_D01809/2009	NA	2009-10-11	Human	USA	NA	Human_respirovirus_1	HPIV1
JQ901994	HPIV1/WI/629_D02401/2009	NA	2009-10-06	Human	USA	NA	Human_respirovirus_1	HPIV1
KX912731	MY_U3712/14	NA	2014-03-28	Human	Malaysia	NA	Human_respirovirus_1	HPIV1
JQ902004	HPIV1/WI/629_D01575/2009	NA	2009-11-30	Human	USA	NA	Human_respirovirus_1	HPIV1
