strain	strain_name	date	country	host
MH256653.1	None	2018-02-12	China	Homo sapiens
MH256654.1	None	2018-02-12	China	Homo sapiens
MH256655.1	None	2018-02-13	China	Homo sapiens
MH256656.1	None	2018-02-13	China	Homo sapiens
MH256657.1	None	2018-03-03	China	Homo sapiens
MH262318.1	HAdV-B/USA_NJ/5644/2016/P7H7F7	2016-12-12	USA	Homo sapiens
MH262319.1	HAdV-B/USA_NJ/5645/2016/P7H7F7	2016-12-14	USA	Homo sapiens
MH262320.1	HAdV-B/USA_NJ/5646/2016/P7H7F7	2016-12-14	USA	Homo sapiens
MH262321.1	HAdV-B/USA_NJ/5649/2016/P7H7F7	2016-12-19	USA	Homo sapiens
MH262322.1	HAdV-B/USA_NJ/6294/2017/P7H7F7	2017-02-15	USA	Homo sapiens
MH262323.1	HAdV-B/USA_NJ/6295/2017/P7H7F7	2017-02-16	USA	Homo sapiens
MH262324.1	HAdV-B/USA_NJ/6296/2017/P7H7F7	2017-02-09	USA	Homo sapiens
MH262325.1	HAdV-B/USA_PA/1200/2017/P7H7F7	2017-01-10	USA	Homo sapiens
MH262326.1	HAdV-B/USA_PA/1201/2017/P7H7F7	2017-01-11	USA	Homo sapiens
MG696128.1	None	2018-10-17	China	Homo sapiens
MG696129.1	None	2018-10-17	China	Homo sapiens
MG696130.1	None	2018-10-17	China	Homo sapiens
MG696131.1	None	2018-10-17	China	Homo sapiens
MG696132.1	None	2018-10-17	China	Homo sapiens
MG696133.1	None	2018-10-17	China	Homo sapiens
MG696134.1	None	2018-10-17	China	Homo sapiens
MG696135.1	None	2018-10-17	China	Homo sapiens
MG696136.1	None	2018-10-17	China	Homo sapiens
MG696137.1	None	2018-10-17	China	Homo sapiens
MG696138.1	None	2018-10-17	China	Homo sapiens
MG696139.1	None	2018-10-17	China	Homo sapiens
MG696140.1	None	2018-10-17	China	Homo sapiens
MG696141.1	None	2018-10-17	China	Homo sapiens
MG696142.1	None	2018-10-17	China	Homo sapiens
MG696143.1	None	2018-10-17	China	Homo sapiens
MG696144.1	None	2018-10-17	China	Homo sapiens
MG696145.1	None	2018-10-17	China	Homo sapiens
MG696146.1	None	2018-10-17	China	Homo sapiens
MG696147.1	None	2018-10-17	China	Homo sapiens
MG696148.1	None	2018-10-17	China	Homo sapiens
MG696149.1	None	2018-10-17	China	Homo sapiens
MG736303.1	None	2017-04-28	China	Homo sapiens
MG736304.1	None	2017-04-30	China	Homo sapiens
MG923581.1	hAdV/Saint-Petersburg/40/2013	2013-09-28	Russia: Saint Petersburg	Homo sapiens
MG923582.1	hAdV/Saint-Petersburg/43/2013	2013-09-16	Russia: Saint Petersburg	Homo sapiens
MF502426.1	None	2016-04-XX	USA	Homo sapiens
KY320276.1	None	2021-11-01	South Korea	None
KY307857.1	None	2013-XX-XX	Switzerland: Bern	Homo sapiens
KY307858.1	None	2016-XX-XX	Germany	Homo sapiens
KY307859.1	None	2016-XX-XX	Switzerland: Bern	Homo sapiens
KY307860.1	None	1997-XX-XX	Malaysia: Sarawak	Homo sapiens
KY471318.1	AFMC 16-0007	2017-12-20	South Korea	Homo sapiens
KY471319.1	AFMC 16-0094	2017-12-20	South Korea	Homo sapiens
KY471320.1	AFMC 16-0074	2017-12-20	South Korea	Homo sapiens
KY471321.1	AFMC 16-0081	2017-12-20	South Korea	Homo sapiens
KY471322.1	AFMC 16-0035	2017-12-20	South Korea	Homo sapiens
KY471323.1	AFMC 16-0096	2017-12-20	South Korea	Homo sapiens
KY021426.1	None	2011-XX-XX	Canada	Homo sapiens
KY021427.1	None	2011-XX-XX	Canada	Homo sapiens
KY021428.1	None	2011-XX-XX	Canada	Homo sapiens
KY021429.1	None	2008-01-28	USA	Homo sapiens
KY021430.1	None	2015-02-15	USA	Homo sapiens
KY021431.1	None	2015-02-27	USA	Homo sapiens
KY021432.1	None	2015-05-05	USA	Homo sapiens
KP896478.1	Hebei/BD01/2012	2012-02-11	China	Homo sapiens
KP896479.1	Hubei/JZ01/2013	2013-02-25	China	Homo sapiens
KP896480.1	Shanxi/TY01/2013	2013-01-19	China	Homo sapiens
KP896481.1	Hubei/XF/2013	2013-01-18	China	Homo sapiens
KP896482.1	Gansu/DH01/2013	2013-01-23	China	Homo sapiens
KP896483.1	Liaoning/LS01/2013	2013-02-25	China	Homo sapiens
KP896484.1	Tianjin/TJ01/2013	2013-01-15	China	Homo sapiens
KX897164.1	None	2015-XX-XX	China	Homo sapiens
KX289874.1	None	2015-11-12	China	Homo sapiens
KY780931.1	None	2016-06-XX	China	Homo sapiens
KY780932.1	None	2016-06-XX	China	Homo sapiens
KY780933.1	None	2016-06-XX	China	Homo sapiens
KX384958.1	T382/Ft Jackson South Carolina USA/2002	2002-12-09	USA: Fort Jackson, SC	Homo sapiens
KY070248.1	None	2016-06-30	China	Homo sapiens
KX494979.1	AFMC 16-0011	2016-02-23	South Korea	Homo sapiens
LC177352.1	HAdV-B/JPN/T150125/2015/79[P11H34F11]	2015-01-08	Japan:Fukuoka, Tatara river	Homo sapiens
KT970440.1	HAdV-B/ARG/18017/2000/[P11H11F7]	2000-09-XX	Argentina	Homo sapiens
KT970441.1	HAdV-B/USA/CHOP2146-10810/2013/[P11H11F7]	2013-10-XX	USA: Pennsylvania	Homo sapiens
KT970442.1	HAdV-B/USA/12146/2012/[P11H11F7]	2012-04-15	USA: New York	Homo sapiens
KU361344.1	19BOVLB/Volgograd/Rus/2014	2014-03-19	Russia: Volgograd province	Homo sapiens
KT963081.1	CDC 2014012.949	2014-02-19	USA: Oregon	Homo sapiens
KP670855.2	human/CHN/GZ7015/2011/7[P7H7F7]	2011-07-08	China	Homo sapiens
KP670856.2	human/CHN/GZ6965/2011/7[P7H7F7]	2011-05-12	China	Homo sapiens
KP670857.1	human/CHN/GZ6784/2011/7[P7H7F7]	2011-03-09	China	Homo sapiens
KP670858.1	human/CHN/GZ6080/2010/7[P7H7F7]	2010-07-20	China	Homo sapiens
KP670859.1	human/CHN/GZ8987/2012/7[P7H7F7]	2012-08-04	China	Homo sapiens
KP670860.1	human/CHN/GZ8546/2012/7[P7H7F7]	2012-04-26	China	Homo sapiens
KP670861.1	human/CHN/GZ7052/2011/7[P7H7F7]	2011-08-08	China	Homo sapiens
KP279748.1	human/CHN/AQ-1/2012/55[P14/H11/F14]	2012-04-18	China	Homo sapiens
KJ364573.1	NHRC 32389	2005-XX-XX	USA: FT Leonard Wood, MO	Homo sapiens
KJ364574.1	NHRC 32493	2005-XX-XX	USA: FT Leonard Wood, MO	Homo sapiens
KJ364575.1	NHRC 63218	2006-XX-XX	USA: FT Benning, GA	Homo sapiens
KJ364576.1	NHRC 44288	2006-XX-XX	USA: FT Jackson, SC	Homo sapiens
KJ364577.1	CDC RU8176	1978-XX-XX	USA: TN	Homo sapiens
KJ364578.1	NHRC 5	1996-XX-XX	USA: NRTC Great Lakes, IL	Homo sapiens
KJ364579.1	CDC V1375E	1984-XX-XX	USA: UT	Homo sapiens
KJ364580.1	NHRC 20007	1998-XX-XX	USA: MCRD San Diego, CA	Homo sapiens
KJ364581.1	NHRC 52331	2006-XX-XX	USA: Lackland AFB, TX	Homo sapiens
KJ364582.1	NHRC 64589	2007-XX-XX	USA: Ft Benning, GA	Homo sapiens
KJ364583.1	NHRC 71139	2004-XX-XX	USA: MCRD Parris Island, SC	Homo sapiens
KJ364584.1	NHRC 71227	2005-XX-XX	USA: MCRD Parris Island, SC	Homo sapiens
KJ364585.1	NHRC 71252	2005-XX-XX	USA: MCRD Parris Island, SC	Homo sapiens
KJ364586.1	NHRC 10030	1998-XX-XX	USA: NRTC Great Lakes, IL	Homo sapiens
KJ364587.1	PEL0066	2005-XX-XX	None	Homo sapiens
KJ364588.1	CDC V2148A	1988-XX-XX	USA: CT	Homo sapiens
KJ364589.1	VRDL T97-1745	1997-XX-XX	USA: CA	Homo sapiens
KJ364590.1	NHRC 91447	2007-XX-XX	USA: CGTC Cape May, NJ	Homo sapiens
KJ364591.1	VRDL T87-0342	1987-XX-XX	USA: CA	Homo sapiens
KJ364592.1	VRDL T98-1269	1998-XX-XX	USA: CA	Homo sapiens
KJ019879.1	XY6/XY/CHN/2013	2013-XX-XX	China	Homo sapiens
KJ019880.1	XY1/XY/CHN/2012	2012-XX-XX	China	Homo sapiens
KJ019881.1	L34/XY/CHN/2012	2012-XX-XX	China	Homo sapiens
KJ019882.1	K57/JM/CHN/2012	2012-XX-XX	China	Homo sapiens
KJ019883.1	K22/JM/CHN/2013	2013-XX-XX	China	Homo sapiens
KJ019884.1	CDC228/JM/CHN/2012	2012-XX-XX	China	Homo sapiens
KJ019885.1	H12/JM/CHN/2012	2012-XX-XX	China	Homo sapiens
KJ019886.1	H18/JM/CHN/2013	2013-XX-XX	China	Homo sapiens
KJ019887.1	JM11/JM/CHN/2013	2013-XX-XX	China	Homo sapiens
KJ019888.1	L14/XY/CHN/2012	2012-XX-XX	China	Homo sapiens
KC440171.1	human/CHN/DG01/2011/7[P7H7F7]	2011-03-06	China	Homo sapiens; cell-line A549
KC857700.1	HAdV B7 XZ2011-93	2012-01-25	China	Homo sapiens
KC857701.1	HAdV B55 XZ2012-492	2012-04-26	China	Homo sapiens
KF908851.1	TJ-2013-90	2013-01-14	China	Homo sapiens; male
KF528688.1	None	2014-07-19	Germany	Homo sapiens
KF577593.1	None	2010-07-XX	Germany	Homo sapiens
KF577595.1	None	2005-05-XX	Germany	Homo sapiens
KF577597.1	None	2012-11-XX	Germany	Homo sapiens
KF577598.1	None	2013-02-XX	Germany	Homo sapiens
KF577599.1	None	2005-05-XX	Germany	Homo sapiens
KF802425.1	None	2012-11-XX	Germany	Homo sapiens
KF802426.1	None	2008-08-XX	Germany	Homo sapiens
KF938575.1	None	2012-05-XX	Germany	Homo sapiens
KF938576.1	None	2012-05-XX	Germany	Homo sapiens
KJ883520.1	None	2013-04-06	China	Homo sapiens
KJ883521.1	None	2013-04-07	China	Homo sapiens
KJ883522.1	None	2011-12-05	China	Homo sapiens
KF906413.1	IC763	2010-08-24	South Korea	Homo sapiens
KF633445.1	human/DEU/HEIM_00086/X/X[PXHXFX]	2013-09-16	Germany	Homo sapiens
KF268117.1	human/USA/UFL_Adv7d2-2/unknown/7[P7H7F7]	2013-08-26	USA: Iowa	Homo sapiens
KF268120.1	human/USA/UFL_Adv3a2/2007/3[P3H3F3]	2007-02-XX	USA: Connecticut	Homo sapiens
KF268121.1	human/USA/UFL_Adv11/2005/11[P11H11F11]	2005-08-XX	USA: Wisconsin	Homo sapiens
KF268123.1	human/USA/UFL_Adv3a51/2007/3[P3H3F3]	2007-01-XX	USA: Connecticut	Homo sapiens
KF268124.1	human/USA/UFL_Adv35/2004/35[P35H35F35]	2004-12-XX	USA: Iowa	Homo sapiens
KF268125.1	human/USA/CL_44/1988/7[P7H7F7]	1988-XX-XX	USA: Pittsburgh, Pennsylvania	Homo sapiens
KF268126.1	human/USA/UFL_Adv7h/2005/66[P7H7F3]	2005-02-XX	USA: Iowa	Homo sapiens
KF268128.1	human/USA/CL_46/1988/3[P3H3F3]	1988-XX-XX	USA: Pittsburgh, Pennsylvania	Homo sapiens
KF268131.1	human/USA/UFL_Adv3a17/2007/3[P3H3F3]	2007-02-XX	USA: Connecticut	Homo sapiens
KF268132.1	human/USA/CL_45/1988/3[P3H7F3]	1988-XX-XX	USA: Pittsburgh, Pennsylvania	Homo sapiens
KF268133.1	human/USA/UFL_Adv3a50/2007/3[P3H3F3]	2007-02-XX	USA: Connecticut	Homo sapiens
KF268134.1	human/USA/CL_43/1988/7[P7H7F7]	1988-XX-XX	USA: Pittsburgh, Pennsylvania	Homo sapiens
KF268135.1	human/USA/UFL_Adv7d2-3/unknown/7[P7H7F7]	2013-08-26	USA: Iowa	Homo sapiens
KF268195.1	human/USA/UFL_Adv3/2004/3[P3/H3/F3]	2004-10-XX	USA: Missouri	Homo sapiens
KF268196.1	human/USA/UFL_Adv34/2005/34[P34/H34/F34]	2005-10-XX	USA: Texas	Homo sapiens
KF268202.1	human/USA/MEEI_00075/X/3[P3H3F3]	2013-09-12	USA	Homo sapiens
KF268210.1	human/IND/MEEI_00057/2011/3[P7H3F3]	2011-04-XX	India: Tamil Nadu	Homo sapiens; sex: M; age: 10M
KF268212.1	human/IND/MEEI_00062/2011/3[P7H3F3]	2011-04-06	India: Tamil Nadu	Homo sapiens; sex: F; age: 7M
KF268311.1	human/CHN/Ad4/2007/NEW[P3H3F7]	2007-01-01	China: Guangzhou	Homo sapiens
KF268314.1	human/CHN/DG/2011/7[P7H7F7]	2011-03-05	China: Dongguan	Homo sapiens
KF268315.1	human/DEU/HEIM_00097/1988/NEW[P16H3F16]	1988-04-13	Germany	Homo sapiens
KF268316.1	human/CHN/a238/2011/7[P7H7F7]	2011-10-08	China: Guangzhou	Homo sapiens; sex: F; age: 8M
KF268328.1	human/DEU/HEIM_00092/1985/NEW[P35H34F7]	1985-01-29	Germany	Homo sapiens
KF429748.1	human/USA/Pitts_00102/1988/7[P7H7F7]	1988-XX-XX	USA: Pittsburgh, Pennsylvania	Homo sapiens
KF429752.1	human/USA/Pitts_00112/1988/NEW[P3H3F7]	1988-XX-XX	USA: Pittsburgh, Pennsylvania	Homo sapiens
JX892927.2	None	2012-02-01	China	Homo sapiens
JX625134.1	None	2010-11-XX	China	Homo sapiens
JX491639.1	None	2011-03-24	China	Homo sapiens
JX423380.1	human/USA/ak32_AdV3a/2004/3[P3H3F3]	2004-07-01	USA: San Diego	Homo sapiens
JX423381.1	human/USA/ak33_AdV3a/2003/3[P3H3F3]	2003-01-01	USA: Philadelphia	Homo sapiens
JX423382.1	human/USA/ak34_AdV3a2/2008/3[P3H3F3]	2008-01-01	USA: Philadelphia	Homo sapiens
JX423383.1	human/USA/ak35_AdV7d2/2006/7[P7H7F7]	2006-04-01	USA: Missouri	Homo sapiens
JX423384.1	human/ARG/ak36_AdV11a/2005/55[P14H11F14]	2005-01-01	Argentina	Homo sapiens
JX423385.1	human/EGY/ak37_AdV11a/2001/55[P14H11F14]	2001-05-01	Egypt	Homo sapiens
JX423386.1	human/ARG/ak38_AdV7h/2003/7[P7H7F7]	2003-01-01	Argentina	Homo sapiens
JX423387.1	human/USA/ak39_AdV7d2/1997/7[P7H7F7]	1997-09-01	USA: Illinios	Homo sapiens
JX423388.1	human/USA/ak40_AdV7b/1997/7[P7H7F7]	1997-08-01	USA: Illinios	Homo sapiens
JX123027.1	None	2010-08-18	China	Homo sapiens
JX123028.1	None	2011-04-22	China	Homo sapiens
JX123029.1	None	2012-01-08	China	Homo sapiens
JQ824845.1	None	2010-10-07	China	Homo sapiens
JN032132.1	HAdV14-BJ430/CHN2010	2011-10-22	China	Homo sapiens
JF800905.1	0901HZ/ShX/CHN/2009	2009-01-08	China: Shaanxi Province	Homo sapiens
JN860676.1	87-922	1987-XX-XX	Argentina	Homo sapiens
JN860677.1	FS2154	2009-XX-XX	USA	Homo sapiens
JN860678.1	Arg 827/04	2004-XX-XX	Argentina	Homo sapiens
JN860679.1	Takeuchi	1958-XX-XX	Japan	Homo sapiens
JN860680.1	E26	2011-12-19	Egypt	Homo sapiens
HQ659699.1	gz07	2007-11-XX	China	Homo sapiens
FJ597732.1	SGN1222	2005-05-26	Singapore	Homo sapiens
GQ478341.1	GZ08	2008-02-01	China	Homo sapiens
EF011630.1	ColoAd1	2009-09-01	USA	None
EF564600.1	OvAd1	2009-09-01	USA	None
EF564601.1	OvAd2	2009-09-01	None	None
FJ643676.1	QS-DLL	2006-04-XX	China: Shanxi, Qishan	Homo sapiens
FJ822614.1	None	2007-XX-XX	USA: Lackland, TX	Homo sapiens
NC_011202.1	Slobitski	2020-12-20	None	Homo sapiens
NC_011203.1	GB	2020-12-20	None	Homo sapiens
AY599834.1	GB	2006-05-10	None	None
AY599836.1	NHRC 1276	2006-05-10	USA: Illinois, NTC Great Lakes	None
AY601633.1	AV-1645	2006-05-10	None	None
AY601634.1	NHRC 1315	2006-05-10	USA: Illinois, NTC Great Lakes	None
AY601636.1	ch. 79	2006-04-12	None	None
DQ086466.1	None	2005-11-23	None	None
AY803294.1	de Wit; ATCC VR-1091	2005-10-31	None	None
AY737797.1	Compton; ATCC VR-716	2005-12-27	None	None
AY737798.1	Wan; ATCC VR-1502	2005-08-30	None	None
DQ099432.4	Guangzhou01	2005-01-XX	None	None
DQ105654.4	Guangzhou02	2004-07-XX	None	None
AY594256.1	None	2006-05-10	None	None
AY594255.1	Gomen	2006-05-10	None	None
AC_000010.1	None	2018-08-13	None	None
AC_000018.1	None	2018-08-13	None	None
AC_000019.1	None	2018-08-13	None	None
AY598970.1	11p	2004-11-12	None	None
AY495969.1	vaccine strain	2004-01-14	China	None
AY128640.2	ATCC VR-718; Holden	2003-12-12	None	None
AY271307.1	35p	2004-05-13	None	None
AF532578.1	Slobitski	2003-07-23	None	None
AY163756.1	Ad11p Slobitski	2005-03-31	None	None
