Accession	Virus	Strain	Author	Publication_Title	Journal	Database
MG986462	Mumps	Massachusetts.USA/25.17/4/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MG986431	Mumps	Massachusetts.USA/25.17/2/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MG986393	Mumps	Massachusetts.USA/13.17/2/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MG986421	Mumps	Massachusetts.USA/25.17/3/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965223	Mumps	Massachusetts.USA/19.16/11/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965294	Mumps	Massachusetts.USA/22.16/3/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MG986463	Mumps	NewHampshire.USA/40.16/G	Bankamp et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965208	Mumps	Massachusetts.USA/27.16/2/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965295	Mumps	Massachusetts.USA/33.16/1/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
Fred_Hutch_seq_88	Mumps	Missouri.USA/32.16/FH88/G	Moncla et al	Unpublished		Genbank
MG986406	Mumps	Indiana.USA/48.16/G	Bankamp et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
Fred_Hutch_seq_122	Mumps	Missouri.USA/41.16/FH122/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_124	Mumps	Missouri.USA/46.16/FH124/G	Moncla et al	Unpublished		Genbank
MG986453	Mumps	Indiana.USA/1.17/G	Bankamp et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MG986440	Mumps	Indiana.USA/49.16/G	Bankamp et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
Fred_Hutch_seq_129	Mumps	Missouri.USA/7.17/FH129/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_125	Mumps	Missouri.USA/50.16/FH125/G	Moncla et al	Unpublished		Genbank
MG986388	Mumps	Massachusetts.USA/8.17/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MG986439	Mumps	Massachusetts.USA/14.17/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MG986381	Mumps	NorthDakota.USA/15.17/G	Bankamp et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MG986411	Mumps	NorthDakota.USA/9.17/G	Bankamp et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MG986417	Mumps	NorthDakota.USA/14.17/G	Bankamp et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
Fred_Hutch_seq_101	Mumps	Missouri.USA/28.17/FH101/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_137	Mumps	Wisconsin.USA/15.17/FH137/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_133	Mumps	Missouri.USA/11.17/FH133/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_141	Mumps	Wisconsin.USA/19.17/FH141/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_44	Mumps	Washington.USA/19.17/FH44/G	Moncla et al	Unpublished		Genbank
MG986435	Mumps	Massachusetts.USA/17.17/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MG986389	Mumps	Massachusetts.USA/22.17/9/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MG986401	Mumps	Massachusetts.USA/25.17/5/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MG986404	Mumps	Massachusetts.USA/25.17/6/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MG986407	Mumps	Massachusetts.USA/23.17/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
Fred_Hutch_seq_138	Mumps	Missouri.USA/15.17/FH138/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_89	Mumps	Wisconsin.USA/15.17/FH89/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_134	Mumps	Missouri.USA/15.17/FH134/G	Moncla et al	Unpublished		Genbank
MG986454	Mumps	Illinois.USA/11.17/G	Bankamp et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
Fred_Hutch_seq_123	Mumps	Missouri.USA/46.16/FH123/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_37	Mumps	Washington.USA/17.17/FH37/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_127	Mumps	Missouri.USA/2.17/FH127/G	Moncla et al	Unpublished		Genbank
MG986423	Mumps	Illinois.USA/14.17/G	Bankamp et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
Fred_Hutch_seq_140	Mumps	Missouri.USA/19.17/FH140/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_139	Mumps	Alabama.USA/15.17/FH139/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_51	Mumps	Washington.USA/6.17/FH51/G	Moncla et al	Unpublished		Genbank
MG986429	Mumps	Kansas.USA/10.17/G	Bankamp et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MG986456	Mumps	Kansas.USA/8.17/4/G	Bankamp et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
Fred_Hutch_seq_165	Mumps	Missouri.USA/24.17/FH165/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_155	Mumps	Missouri.USA/33.17/FH155/G	Moncla et al	Unpublished		Genbank
MG986403	Mumps	Kansas.USA/9.17/2/G	Bankamp et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MG986385	Mumps	Kansas.USA/15.17/G	Bankamp et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
Fred_Hutch_seq_164	Mumps	Alabama.USA/7.17/FH164/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_92	Mumps	Alabama.USA/19.17/FH92/G	Moncla et al	Unpublished		Genbank
MG986397	Mumps	Massachusetts.USA/14.17/2/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MG986452	Mumps	Kansas.USA/13.17/2/G	Bankamp et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
Fred_Hutch_seq_50	Mumps	Washington.USA/5.17/FH50/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_90	Mumps	Alabama.USA/11.17/FH90/G	Moncla et al	Unpublished		Genbank
MG986418	Mumps	NewJersey.USA/49.14/G	Bankamp et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965222	Mumps	Massachusetts.USA/26.15/1/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MG986398	Mumps	NewYork/10.14/2/G	Bankamp et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
Broad_sequence_54	Mumps	NewYork.USA/51.14/G	Wohl et al	Unpublished		Genbank
MG986465	Mumps	Pennsylvania.USA/51.14/G	Bankamp et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MG986433	Mumps	Virginia.USA/51.14/G	Bankamp et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
BCCDC100	Mumps	BritishColumbia.CAN/28.16/6/G	Gardy et al	Unpublished		Genbank
BCCDC90	Mumps	BritishColumbia.CAN/29.16/5/G	Gardy et al	Unpublished		Genbank
BCCDC101	Mumps	BritishColumbia.CAN/36.16/G	Gardy et al	Unpublished		Genbank
BCCDC85	Mumps	BritishColumbia.CAN/26.16/1/G	Gardy et al	Unpublished		Genbank
BCCDC48	Mumps	BritishColumbia.CAN/25.16/5/G	Gardy et al	Unpublished		Genbank
BCCDC33	Mumps	BritishColumbia.CAN/21.16/2/G	Gardy et al	Unpublished		Genbank
BCCDC34	Mumps	BritishColumbia.CAN/21.16/6/G	Gardy et al	Unpublished		Genbank
BCCDC68	Mumps	BritishColumbia.CAN/28.16/4/G	Gardy et al	Unpublished		Genbank
BCCDC91	Mumps	BritishColumbia.CAN/33.16/2/G	Gardy et al	Unpublished		Genbank
BCCDC30	Mumps	BritishColumbia.CAN/18.16/G	Gardy et al	Unpublished		Genbank
BCCDC71	Mumps	BritishColumbia.CAN/20.16/1/G	Gardy et al	Unpublished		Genbank
BCCDC83	Mumps	BritishColumbia.CAN/19.16/3/G	Gardy et al	Unpublished		Genbank
BCCDC58	Mumps	BritishColumbia.CAN/27.16/4/G	Gardy et al	Unpublished		Genbank
BCCDC81	Mumps	BritishColumbia.CAN/18.16/3/G	Gardy et al	Unpublished		Genbank
BCCDC82	Mumps	BritishColumbia.CAN/19.16/2/G	Gardy et al	Unpublished		Genbank
BCCDC72	Mumps	BritishColumbia.CAN/22.16/2/G	Gardy et al	Unpublished		Genbank
BCCDC18	Mumps	BritishColumbia.CAN/24.16/2/G	Gardy et al	Unpublished		Genbank
BCCDC73	Mumps	BritishColumbia.CAN/23.16/1/G	Gardy et al	Unpublished		Genbank
BCCDC53	Mumps	BritishColumbia.CAN/21.16/4/G	Gardy et al	Unpublished		Genbank
BCCDC70	Mumps	BritishColumbia.CAN/19.16/1/G	Gardy et al	Unpublished		Genbank
BCCDC32	Mumps	BritishColumbia.CAN/19.16/5/G	Gardy et al	Unpublished		Genbank
BCCDC52	Mumps	BritishColumbia.CAN/18.16/2/G	Gardy et al	Unpublished		Genbank
BCCDC31	Mumps	BritishColumbia.CAN/18.16/4/G	Gardy et al	Unpublished		Genbank
BCCDC105	Mumps	BritishColumbia.CAN/29.16/3/G	Gardy et al	Unpublished		Genbank
BCCDC106	Mumps	BritishColumbia.CAN/34.16/3/G	Gardy et al	Unpublished		Genbank
BCCDC25	Mumps	BritishColumbia.CAN/16.16/4/G	Gardy et al	Unpublished		Genbank
BCCDC89	Mumps	BritishColumbia.CAN/28.16/5/G	Gardy et al	Unpublished		Genbank
BCCDC94	Mumps	BritishColumbia.CAN/28.16/1/G	Gardy et al	Unpublished		Genbank
BCCDC95	Mumps	BritishColumbia.CAN/31.16/2/G	Gardy et al	Unpublished		Genbank
BCCDC102	Mumps	BritishColumbia.CAN/25.16/3/G	Gardy et al	Unpublished		Genbank
BCCDC103	Mumps	BritishColumbia.CAN/29.16/4/G	Gardy et al	Unpublished		Genbank
BCCDC93	Mumps	BritishColumbia.CAN/27.16/7/G	Gardy et al	Unpublished		Genbank
BCCDC57	Mumps	BritishColumbia.CAN/27.16/3/G	Gardy et al	Unpublished		Genbank
BCCDC99	Mumps	BritishColumbia.CAN/26.16/5/G	Gardy et al	Unpublished		Genbank
BCCDC55	Mumps	BritishColumbia.CAN/24.16/3/G	Gardy et al	Unpublished		Genbank
BCCDC10	Mumps	BritishColumbia.CAN/17.16/G	Gardy et al	Unpublished		Genbank
BCCDC38	Mumps	BritishColumbia.CAN/24.16/4/G	Gardy et al	Unpublished		Genbank
BCCDC64	Mumps	BritishColumbia.CAN/24.16/5/G	Gardy et al	Unpublished		Genbank
BCCDC80	Mumps	BritishColumbia.CAN/23.16/2/G	Gardy et al	Unpublished		Genbank
BCCDC69	Mumps	BritishColumbia.CAN/24.16/1/G	Gardy et al	Unpublished		Genbank
BCCDC59	Mumps	BritishColumbia.CAN/31.16/4/G	Gardy et al	Unpublished		Genbank
BCCDC40	Mumps	BritishColumbia.CAN/29.16/6/G	Gardy et al	Unpublished		Genbank
BCCDC15	Mumps	BritishColumbia.CAN/13.16/G	Gardy et al	Unpublished		Genbank
BCCDC60	Mumps	BritishColumbia.CAN/42.16/G	Gardy et al	Unpublished		Genbank
BCCDC56	Mumps	BritishColumbia.CAN/24.16/7/G	Gardy et al	Unpublished		Genbank
BCCDC4	Mumps	BritishColumbia.CAN/30.16/2/G	Gardy et al	Unpublished		Genbank
BCCDC8	Mumps	BritishColumbia.CAN/30.16/3/G	Gardy et al	Unpublished		Genbank
BCCDC84	Mumps	BritishColumbia.CAN/21.16/3/G	Gardy et al	Unpublished		Genbank
BCCDC16	Mumps	BritishColumbia.CAN/30.16/1/G	Gardy et al	Unpublished		Genbank
BCCDC17	Mumps	BritishColumbia.CAN/31.16/1/G	Gardy et al	Unpublished		Genbank
Fred_Hutch_seq_114	Mumps	Missouri.USA/29.15/FH114/G	Moncla et al	Unpublished		Genbank
MG986460	Mumps	Illinois.USA/26.15/2/G	Bankamp et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965290	Mumps	Massachusetts.USA/12.16/5/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
Fred_Hutch_seq_115	Mumps	Wisconsin.USA/42.15/FH115/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_118	Mumps	Wisconsin.USA/2.16/FH118/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_121	Mumps	Wisconsin.USA/19.16/FH121/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_119	Mumps	Ohio.USA/19.16/FH119/G	Moncla et al	Unpublished		Genbank
MG986419	Mumps	Michigan.USA/4.16/G	Bankamp et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MG986394	Mumps	Louisiana.USA/29.17/G	Bankamp et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MG986380	Mumps	Texas.USA/27.17/G	Bankamp et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965260	Mumps	Massachusetts.USA/21.16/1/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
Fred_Hutch_seq_120	Mumps	Wisconsin.USA/24.16/FH120/G	Moncla et al	Unpublished		Genbank
MG986391	Mumps	Texas.USA/15.17/G	Bankamp et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965212	Mumps	Massachusetts.USA/46.16/2/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965217	Mumps	Massachusetts.USA/46.16/4/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MG986457	Mumps	Texas.USA/18.17/G	Bankamp et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
Fred_Hutch_seq_157	Mumps	Ohio.USA/46.17/FH157/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_136	Mumps	NorthCarolina.USA/11.17/FH136/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_156	Mumps	Alabama.USA/50.17/FH156/G	Moncla et al	Unpublished		Genbank
BCCDC35	Mumps	BritishColumbia.CAN/8.17/3/G	Gardy et al	Unpublished		Genbank
MF965300	Mumps	Massachusetts.USA/45.16/5/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965271	Mumps	Massachusetts.USA/45.16/7/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MG986458	Mumps	Pennsylvania.USA/19.16/G	Bankamp et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
Fred_Hutch_seq_163	Mumps	Wisconsin.USA/51.15/FH163/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_116	Mumps	Wisconsin.USA/42.15/FH116/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_117	Mumps	Wisconsin.USA/46.15/FH117/G	Moncla et al	Unpublished		Genbank
MF965315	Mumps	Massachusetts.USA/19.16/6/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965258	Mumps	Massachusetts.USA/16.16/12/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965219	Mumps	Massachusetts.USA/10.16/10/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965281	Mumps	Massachusetts.USA/11.16/6/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965297	Mumps	Massachusetts.USA/14.16/3/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965248	Mumps	Massachusetts.USA/10.16/14/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965220	Mumps	Massachusetts.USA/11.16/2/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965292	Mumps	Massachusetts.USA/13.16/3/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MG986434	Mumps	NewHampshire.USA/8.16/1/G	Bankamp et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965215	Mumps	Massachusetts.USA/11.16/1/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965286	Mumps	Massachusetts.USA/9.16/3/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965287	Mumps	Massachusetts.USA/12.16/1/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965267	Mumps	Massachusetts.USA/13.16/2/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965302	Mumps	Massachusetts.USA/9.16/2/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965205	Mumps	Massachusetts.USA/10.16/6/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965253	Mumps	Massachusetts.USA/10.16/5/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
Fred_Hutch_seq_126	Mumps	Wisconsin.USA/50.16/FH126/G	Moncla et al	Unpublished		Genbank
MG986432	Mumps	Kansas.USA/8.17/G	Bankamp et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
Fred_Hutch_seq_147	Mumps	Washington.USA/18.17/FH147/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_62	Mumps	Washington.USA/3.17/FH62/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_15	Mumps	Washington.USA/7.17/FH15/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_144	Mumps	Washington.USA/12.17/FH144/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_143	Mumps	Washington.USA/11.17/FH143/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_84	Mumps	Washington.USA/2.17/FH84/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_146	Mumps	Washington.USA/15.17/FH146/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_67	Mumps	Washington.USA/3.17/FH67/G	Moncla et al	Unpublished		Genbank
KY996511	Mumps	Springdale_745/2016/G	Wongsurawat et al	Three Complete Genome Sequences of Genotype G Mumps Virus from the 2016 outbreak in Arkansas, USA	Unpublished	Genbank
KY996512	Mumps	Springdale_754/2016/G	Wongsurawat et al	Three Complete Genome Sequences of Genotype G Mumps Virus from the 2016 outbreak in Arkansas, USA	Unpublished	Genbank
MK585590	Mumps	Arkansas.USA/43.16/G	Alkam et al	Genomic characterization of mumps viruses from a large-scale mumps outbreak in Arkansas, 2016	Unpublished	Genbank
MK585578	Mumps	Arkansas.USA/44.16/G	Alkam et al	Genomic characterization of mumps viruses from a large-scale mumps outbreak in Arkansas, 2016	Unpublished	Genbank
KY996510	Mumps	Springdale_730/2016/G	Wongsurawat et al	Three Complete Genome Sequences of Genotype G Mumps Virus from the 2016 outbreak in Arkansas, USA	Unpublished	Genbank
MK585577	Mumps	Arkansas.USA/47.16/G	Alkam et al	Genomic characterization of mumps viruses from a large-scale mumps outbreak in Arkansas, 2016	Unpublished	Genbank
MK585596	Mumps	Arkansas.USA/41.16/G	Alkam et al	Genomic characterization of mumps viruses from a large-scale mumps outbreak in Arkansas, 2016	Unpublished	Genbank
Fred_Hutch_seq_128	Mumps	Ohio.USA/2.17/FH128/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_130	Mumps	Ohio.USA/7.17/FH130/G	Moncla et al	Unpublished		Genbank
MK585617	Mumps	Arkansas.USA/5.17/G	Alkam et al	Genomic characterization of mumps viruses from a large-scale mumps outbreak in Arkansas, 2016	Unpublished	Genbank
MK585615	Mumps	Arkansas.USA/49.16/G	Alkam et al	Genomic characterization of mumps viruses from a large-scale mumps outbreak in Arkansas, 2016	Unpublished	Genbank
MK585609	Mumps	Arkansas.USA/50.16/G	Alkam et al	Genomic characterization of mumps viruses from a large-scale mumps outbreak in Arkansas, 2016	Unpublished	Genbank
MK585574	Mumps	Arkansas.USA/13.17/G	Alkam et al	Genomic characterization of mumps viruses from a large-scale mumps outbreak in Arkansas, 2016	Unpublished	Genbank
MK585589	Mumps	Arkansas.USA/51.16/G	Alkam et al	Genomic characterization of mumps viruses from a large-scale mumps outbreak in Arkansas, 2016	Unpublished	Genbank
MK585593	Mumps	Arkansas.USA/52.16/G	Alkam et al	Genomic characterization of mumps viruses from a large-scale mumps outbreak in Arkansas, 2016	Unpublished	Genbank
Fred_Hutch_seq_48	Mumps	Washington.USA/4.17/FH48/G	Moncla et al	Unpublished		Genbank
MK585575	Mumps	Arkansas.USA/48.16/G	Alkam et al	Genomic characterization of mumps viruses from a large-scale mumps outbreak in Arkansas, 2016	Unpublished	Genbank
Fred_Hutch_seq_76	Mumps	Washington.USA/12.17/FH76/G	Moncla et al	Unpublished		Genbank
MK585570	Mumps	Arkansas.USA/12.17/G	Alkam et al	Genomic characterization of mumps viruses from a large-scale mumps outbreak in Arkansas, 2016	Unpublished	Genbank
Fred_Hutch_seq_63	Mumps	Washington.USA/16.17/FH63/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_36	Mumps	Washington.USA/16.17/FH36/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_38	Mumps	Washington.USA/17.17/FH38/G	Moncla et al	Unpublished		Genbank
MK585583	Mumps	Arkansas.USA/40.16/G	Alkam et al	Genomic characterization of mumps viruses from a large-scale mumps outbreak in Arkansas, 2016	Unpublished	Genbank
Fred_Hutch_seq_103	Mumps	Washington.USA/4.17/FH103/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_1	Mumps	Washington.USA/48.16/FH1/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_158	Mumps	Washington.USA/49.16/FH158/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_82	Mumps	Washington.USA/20.17/FH82/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_81	Mumps	Washington.USA/20.17/FH81/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_31	Mumps	Washington.USA/9.17/FH31/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_18	Mumps	Washington.USA/9.17/FH18/G	Moncla et al	Unpublished		Genbank
BCCDC3	Mumps	BritishColumbia.CAN/18.17/2/G	Gardy et al	Unpublished		Genbank
MK585581	Mumps	Arkansas.USA/46.16/G	Alkam et al	Genomic characterization of mumps viruses from a large-scale mumps outbreak in Arkansas, 2016	Unpublished	Genbank
Fred_Hutch_seq_27	Mumps	Washington.USA/5.17/FH27/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_41	Mumps	Washington.USA/51.16/FH41/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_3	Mumps	Washington.USA/50.16/FH3/G	Moncla et al	Unpublished		Genbank
MK585576	Mumps	Arkansas.USA/45.16/G	Alkam et al	Genomic characterization of mumps viruses from a large-scale mumps outbreak in Arkansas, 2016	Unpublished	Genbank
Fred_Hutch_seq_7	Mumps	Washington.USA/1.17/FH7/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_47	Mumps	Washington.USA/2.17/FH47/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_68	Mumps	Washington.USA/4.17/FH68/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_12	Mumps	Washington.USA/6.17/FH12/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_72	Mumps	Washington.USA/5.17/FH72/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_83	Mumps	Washington.USA/29.17/FH83/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_80	Mumps	Washington.USA/19.17/FH80/G	Moncla et al	Unpublished		Genbank
MK585612	Mumps	Arkansas.USA/38.16/G	Alkam et al	Genomic characterization of mumps viruses from a large-scale mumps outbreak in Arkansas, 2016	Unpublished	Genbank
Fred_Hutch_seq_106	Mumps	Washington.USA/7.17/FH106/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_17	Mumps	Washington.USA/8.17/FH17/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_65	Mumps	Washington.USA/1.17/FH65/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_54	Mumps	Washington.USA/2.17/FH54/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_64	Mumps	Washington.USA/50.16/FH64/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_22	Mumps	Washington.USA/2.17/FH22/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_162	Mumps	Washington.USA/5.17/FH162/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_21	Mumps	Washington.USA/2.17/FH21/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_166	Mumps	Washington.USA/7.17/FH166/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_161	Mumps	Washington.USA/5.17/FH161/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_14	Mumps	Washington.USA/6.17/FH14/G	Moncla et al	Unpublished		Genbank
