Accession	Virus	Strain	Segment	Originating_lab	Submitting_lab	Database
EPI679135	yam	B/England/52560639/2015	ha	Microbiology Services Colindale, Public Health England	Microbiology Services Colindale, Public Health England	GISAID
EPI737633	yam	B/Okinawa/8/2015	ha	National Institute Of Infectious Diseases (niid)	Centers For Disease Control And Prevention	GISAID
EPI835040	yam	B/SouthAuckland/5/2016	ha	Institute Of Environmental Science And Research	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI824591	yam	B/Alsace/2136/2016	ha		Institut Pasteur	GISAID
EPI1030219	yam	B/Shanghai-Huangpu/1449/2017	ha	Who Chinese National Influenza Center	Who Chinese National Influenza Center	GISAID
EPI1261134	yam	B/AbuDhabi/18/2018	ha	Shaikh Khalifa Medical City	Centers For Disease Control And Prevention	GISAID
EPI908515	yam	B/HongKong/11/2017	ha	Government Virus Unit	Centers For Disease Control And Prevention	GISAID
EPI1054559	yam	B/Shimane/6/2017	ha	Shimane Prefectural Institute Of Public Health And Environmental Science	National Institute Of Infectious Diseases (niid)	GISAID
EPI1012872	yam	B/Kyrgyzstan/73/2017	ha	National Virology Laboratory, Center Microbiological Investigations	Centers For Disease Control And Prevention	GISAID
EPI636514	yam	B/SouthAustralia/18/2015	ha	Institute Of Medical And Veterinary Science (imvs)	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI844297	yam	B/Nepal/335/2016	ha	National Public Health Laboratory	Centers For Disease Control And Prevention	GISAID
EPI844433	yam	B/Nepal/572/2016	ha	National Public Health Laboratory	Centers For Disease Control And Prevention	GISAID
EPI631060	yam	B/Moscow/109/2015	ha	Ivanovsky Research Institute Of Virology Rams	Centers For Disease Control And Prevention	GISAID
EPI1113652	yam	B/Egypt/3958/2017	ha	Ministry Of Health And Population	Crick Worldwide Influenza Centre	GISAID
EPI859193	yam	B/Jordan/20415/2016	ha	Laboratory Directorate	Crick Worldwide Influenza Centre	GISAID
EPI699880	yam	B/Tokyo/15332/2015	ha	Tokyo Metropolitan Institute Of Public Health	National Institute Of Infectious Diseases (niid)	GISAID
EPI710715	yam	B/Bangladesh/6306/2015	ha	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)	Centers For Disease Control And Prevention	GISAID
EPI807187	yam	B/Brazil/20/2016	ha	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	Centers For Disease Control And Prevention	GISAID
EPI763092	yam	B/Brazil/643/2015	ha	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	Centers For Disease Control And Prevention	GISAID
EPI977912	yam	B/Arizona/10/2015	ha	Arizona Department Of Health Services	Centers For Disease Control And Prevention	GISAID
EPI700966	yam	B/Pakistan/367/2015	ha	National Institute Of Health	Centers For Disease Control And Prevention	GISAID
EPI699475	yam	B/Switzerland/16034257/2015	ha	Hopital Cantonal Universitaire De Geneves	Crick Worldwide Influenza Centre	GISAID
EPI672051	yam	B/Kyrgyzstan/72/2015	ha	National Virology Laboratory, Center Microbiological Investigations	Centers For Disease Control And Prevention	GISAID
EPI704069	yam	B/Christchurch/27/2015	ha	Institute Of Environmental Science And Research	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI885741	yam	B/Guangxi-Yuzhou/1707/2016	ha	Who Chinese National Influenza Center	Who Chinese National Influenza Center	GISAID
EPI1059206	yam	B/Uttaradit/108/2017	ha	Who National Influenza Centre, National Institute Of Medical Research (nimr)	Centers For Disease Control And Prevention	GISAID
EPI955404	yam	B/Guangxi-Jiangzhou/1917/2016	ha	Who Chinese National Influenza Center	Centers For Disease Control And Prevention	GISAID
EPI892185	yam	B/Colombia/872/2016	ha	Instituto Nacional De Salud De Columbia	Centers For Disease Control And Prevention	GISAID
EPI892126	yam	B/Paraguay/5243/2016	ha	Central Laboratory Of Public Health	Centers For Disease Control And Prevention	GISAID
EPI554658	yam	B/Antofagasta/57859/2014	ha	Instituto De Salud Publica De Chile 	Instituto De Salud Publica De Chile	GISAID
EPI664158	yam	B/Iceland/6544/2015	ha	Landspitali   University Hospital 	Crick Worldwide Influenza Centre	GISAID
EPI628846	yam	B/Kochi/111/2015	ha	Kochi Public Health And Sanitation Institute 	National Institute Of Infectious Diseases (niid)	GISAID
EPI765440	yam	B/Bahrain/21/2016	ha	Ministry Of Health Bahrain	Centers For Disease Control And Prevention	GISAID
EPI714049	yam	B/Brazil/587/2015	ha	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	Centers For Disease Control And Prevention	GISAID
EPI908464	yam	B/Guatemala/5421/2016	ha	Laboratorio Nacional De Salud Guatemala	Centers For Disease Control And Prevention	GISAID
EPI704110	yam	B/Canberra/111/2015	ha	Canberra Hospital	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI765172	yam	B/Brisbane/301/2015	ha	Queensland Health Scientific Services	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI863493	yam	B/Peru/3316/2016	ha	Us Namru 6	Centers For Disease Control And Prevention	GISAID
EPI826252	yam	B/Peru/77/2016	ha	Us Namru 6	Centers For Disease Control And Prevention	GISAID
EPI584011	yam	B/Austria/847334/2015	ha	Department Of Virology, Medical University Vienna	Medical University Vienna	GISAID
EPI826449	yam	B/Ulaanbaatar/1933/2016	ha	National Center For Communicable Diseases	Centers For Disease Control And Prevention	GISAID
EPI621499	yam	B/Wakayama-C/12/2015	ha	Wakayama City Institute Of Public Health	National Institute Of Infectious Diseases (niid)	GISAID
EPI638703	yam	B/Santiago/30205/2015	ha	Instituto De Salud Publica De Chile 	Centers For Disease Control And Prevention	GISAID
EPI664188	yam	B/Zambia/4-00314/2015	ha	University Teaching Hospital	Crick Worldwide Influenza Centre	GISAID
EPI644119	yam	B/Chanthaburi/315/2015	ha	Who National Influenza Centre, National Institute Of Medical Research (nimr)	Centers For Disease Control And Prevention	GISAID
EPI699868	yam	B/Yamagata/84/2015	ha	Yamagata Prefectural Institute Of Public Health	National Institute Of Infectious Diseases (niid)	GISAID
EPI828819	yam	B/Norway/3991/2016	ha	Unilabs Telelab, Laboratory For Medical Microbiology	Norwegian Institute Of Public Health	GISAID
EPI755780	yam	B/Gunma/12/2015	ha	Gunma Prefectural Institute Of Public Health And Environmental Sciences	National Institute Of Infectious Diseases (niid)	GISAID
EPI824566	yam	B/Gunma/163/2016	ha	Gunma Prefectural Institute Of Public Health And Environmental Sciences	National Institute Of Infectious Diseases (niid)	GISAID
EPI755804	yam	B/Kanagawa/AC28/2016	ha	National Institute Of Infectious Diseases (niid)	National Institute Of Infectious Diseases (niid)	GISAID
EPI778038	yam	B/Kenya/9/2015	ha		Other Database Import	GISAID
EPI745162	yam	B/Lao/324/2015	ha	National Center For Laboratory And Epidemiology	Centers For Disease Control And Prevention	GISAID
EPI645301	yam	B/BeijingDongcheng/15328/2015	ha		Other Database Import	GISAID
EPI1215464	yam	B/Nagasaki/14N135/2015	ha	Niigata University	Niigata University	GISAID
EPI766675	yam	B/Texas/81/2016	ha	Texas Department Of State Health Services Laboratory Services	Centers For Disease Control And Prevention	GISAID
EPI834338	yam	B/Valparaiso/51090/2016	ha	Instituto De Salud Publica De Chile 	Centers For Disease Control And Prevention	GISAID
EPI943047	yam	B/Suriname/1442/2016	ha	Institute For Biomedical Sciences	Centers For Disease Control And Prevention	GISAID
EPI673087	yam	B/Osaka-C/11/2015	ha	Osaka City Institute Of Public Health And Environmental Sciences	National Institute Of Infectious Diseases (niid)	GISAID
EPI767016	yam	B/Tochigi/16246/2016	ha	Tochigi Prefectural Institute Of Public Health And Environmental Science	National Institute Of Infectious Diseases (niid)	GISAID
EPI778025	yam	B/Taiwan/539/2016	ha	Center For Disease Control	National Institute Of Infectious Diseases (niid)	GISAID
EPI765198	yam	B/Townsville/6/2016	ha	Queensland Health Scientific Services	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI718066	yam	B/Singapore/TT1206/2015	ha	Ministry Of Health, Singapore	Ministry Of Health, Singapore	GISAID
EPI630507	yam	B/Taiwan/188/2015	ha	Center For Disease Control	National Institute Of Infectious Diseases (niid)	GISAID
EPI826081	yam	B/Mali/31/2016	ha	Nic Lab Cvd Mali	Centers For Disease Control And Prevention	GISAID
EPI649355	yam	B/Jordan/20606/2015	ha	Laboratory Directorate	Crick Worldwide Influenza Centre	GISAID
EPI793067	yam	B/Sydney/10/2016	ha	Westmead Hospital	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI744913	yam	B/Jordan/30345/2015	ha	Laboratory Directorate	Crick Worldwide Influenza Centre	GISAID
EPI649369	yam	B/Jordan/30356/2015	ha	Laboratory Directorate	Crick Worldwide Influenza Centre	GISAID
EPI858221	yam	B/CostaRica/8793/2016	ha	Laboratorio Nacional De Influenza	Centers For Disease Control And Prevention	GISAID
EPI1012632	yam	B/Bahia/127/2017	ha	Instituto Oswaldo Cruz Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	Centers For Disease Control And Prevention	GISAID
EPI807427	yam	B/Santiago/20269/2016	ha	Instituto De Salud Publica De Chile 	Centers For Disease Control And Prevention	GISAID
EPI1021979	yam	B/Brisbane/7/2017	ha	Queensland Health Scientific Services	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI835179	yam	B/SouthAustralia/18/2016	ha	Institute Of Medical And Veterinary Science (imvs)	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI1009646	yam	B/Philippines/975/2016	ha	Center For Medical Microbiology	Centers For Disease Control And Prevention	GISAID
EPI986185	yam	B/Ghana/DARI-16-0165/2016	ha	University Of Ghana	Crick Worldwide Influenza Centre	GISAID
EPI1056874	yam	B/Togo/170/2017	ha	Institute National D'hygiene	Centers For Disease Control And Prevention	GISAID
EPI1056858	yam	B/Togo/67/2017	ha	Institute National D'hygiene	Centers For Disease Control And Prevention	GISAID
EPI1056773	yam	B/Togo/679/2016	ha	Institute National D'hygiene	Centers For Disease Control And Prevention	GISAID
EPI793094	yam	B/Perth/8/2016	ha	Pathwest Qe Ii Medical Centre	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI840959	yam	B/Sapporo/57/2016	ha	Sapporo City Institute Of Public Health	National Institute Of Infectious Diseases (niid)	GISAID
EPI860010	yam	B/Canberra/11/2016	ha	Canberra Hospital	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI1124981	yam	B/NewZealand/2366/2017	ha	Institute Of Environmental Science & Research	Centers For Disease Control And Prevention	GISAID
EPI1100235	yam	B/NewZealand/2098/2017	ha	Institute Of Environmental Science & Research	Centers For Disease Control And Prevention	GISAID
EPI1082529	yam	B/Canterbury/5/2017	ha	Institute Of Environmental Science & Research	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI834241	yam	B/Oman/5428/2016	ha	Central Public Health Laboratory, Ministry Of Health	Centers For Disease Control And Prevention	GISAID
EPI831410	yam	B/Indonesia/Nihrd-Plk145/2016	ha	Ministry Of Health, Nihrd	Centers For Disease Control And Prevention	GISAID
EPI956605	yam	B/Singapore/GP0129/2017	ha	Ministry Of Health, Singapore	Ministry Of Health, Singapore	GISAID
EPI1030216	yam	B/Beijing-Huairou/1444/2017	ha	Who Chinese National Influenza Center	Who Chinese National Influenza Center	GISAID
EPI916611	yam	B/Denmark/36/2016	ha	Statens Serum Institute	Crick Worldwide Influenza Centre	GISAID
EPI989670	yam	B/Brisbane/2/2017	ha	Queensland Health Scientific Services	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI918027	yam	B/Yokohama/112/2016	ha	National Institute Of Infectious Diseases (niid)	Centers For Disease Control And Prevention	GISAID
EPI1339948	yam	B/Heilongjiang-Saertu/1149/2018	ha	Who Chinese National Influenza Center	Who Chinese National Influenza Center	GISAID
EPI1504481	yam	B/Henan-Yicheng/1333/2019	ha	Who Chinese National Influenza Center	Who Chinese National Influenza Center	GISAID
EPI1053173	yam	B/SouthAfrica/R07346/2017	ha	National Institute For Communicable Disease	Centers For Disease Control And Prevention	GISAID
EPI1147287	yam	B/Colombia/6457/2017	ha	Instituto Nacional De Salud De Columbia	Centers For Disease Control And Prevention	GISAID
EPI1203146	yam	B/Valladolid/188/2017	ha	Universidad De Valladolid	Crick Worldwide Influenza Centre	GISAID
EPI1077115	yam	B/Kanagawa/IC1649/2017	ha	National Institute Of Infectious Diseases (niid)	National Institute Of Infectious Diseases (niid)	GISAID
EPI1278311	yam	B/Bolivia/143/2018	ha	Instituto Nacional De Laboratoriosde Salud (inlasa)	Centers For Disease Control And Prevention	GISAID
EPI769619	yam	B/Kungalv/3/2016	ha		Swedish Institute For Infectious Disease Control	GISAID
EPI958339	yam	B/Montana/21/2016	ha	Montana Laboratory Services Bureau	Centers For Disease Control And Prevention	GISAID
EPI1052648	yam	B/HongKong/355/2017	ha	Government Virus Unit	Centers For Disease Control And Prevention	GISAID
EPI1164656	yam	B/Bahia/975/2017	ha	Instituto Oswaldo Cruz Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	Centers For Disease Control And Prevention	GISAID
EPI1045933	yam	B/Amazonas/146409-IEC/2017	ha	Evandro Chagas Institute	Evandro Chagas Institute	GISAID
EPI1112755	yam	B/England/72100740/2017	ha	Microbiology Services Colindale, Public Health England	Microbiology Services Colindale, Public Health England	GISAID
EPI1196786	yam	B/Brazil/459/2017	ha	Instituto Adolfo Lutz	Centers For Disease Control And Prevention	GISAID
EPI1340311	yam	B/Yunnan-Linxiang/1771/2018	ha	Who Chinese National Influenza Center	Who Chinese National Influenza Center	GISAID
EPI1082751	yam	B/Wellington/40/2017	ha	Institute Of Environmental Science & Research	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI1147396	yam	B/Tochigi/17228/2017	ha	Tochigi Prefectural Institute Of Public Health And Environmental Science	Centers For Disease Control And Prevention	GISAID
EPI1147597	yam	B/Vietnam/Lisn203/2017	ha	Pasteur Institute, Influenza Laboratory	Centers For Disease Control And Prevention	GISAID
EPI834850	yam	B/SouthAuckland/14/2016	ha	Institute Of Environmental Science And Research	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI1147566	yam	B/Vietnam/GS581/2017	ha	Pasteur Institute, Influenza Laboratory	Centers For Disease Control And Prevention	GISAID
EPI1059154	yam	B/Nonthaburi/41/2017	ha	Who National Influenza Centre, National Institute Of Medical Research (nimr)	Centers For Disease Control And Prevention	GISAID
EPI1025787	yam	B/Lao/4335/2016	ha	National Center For Laboratory And Epidemiology	Centers For Disease Control And Prevention	GISAID
EPI835062	yam	B/Brisbane/17/2016	ha	Queensland Health Scientific Services	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI989679	yam	B/Townsville/1/2017	ha	Queensland Health Scientific Services	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI916641	yam	B/Jordan/20519/2016	ha	Laboratory Directorate	Crick Worldwide Influenza Centre	GISAID
EPI916647	yam	B/Kyrgyzstan/1/2016	ha	National Virology Laboratory, Center Microbiological Investigations	Crick Worldwide Influenza Centre	GISAID
EPI1088813	yam	B/Bahrain/133/2017	ha	Ministry Of Health Bahrain	Centers For Disease Control And Prevention	GISAID
EPI986308	yam	B/Tunisia/2529/2017	ha	National Influenza Centre Tunis, Unit Virology, Microbiology Laboratory, Charles Nicolle's Hospital	Crick Worldwide Influenza Centre	GISAID
EPI943364	yam	B/Tokyo/16561/2016	ha	Tokyo Metropolitan Institute Of Public Health	National Institute Of Infectious Diseases (niid)	GISAID
EPI1210643	yam	B/Cambodia/995/2017	ha	National Public Health Laboratory	Centers For Disease Control And Prevention	GISAID
EPI1147642	yam	B/Vietnam/GS326/2017	ha	Pasteur Institute, Influenza Laboratory	Centers For Disease Control And Prevention	GISAID
EPI1186854	yam	B/Taiwan/243/2017	ha	Adimmune Corporation	Centers For Disease Control And Prevention	GISAID
EPI1543311	yam	B/Aichi/2/2019	ha	Aichi Prefectural Institute Of Public Health	National Institute Of Infectious Diseases (niid)	GISAID
EPI1362537	yam	B/Vietnam/223/2018	ha	National Institute Of Hygiene And Epidemiology	Centers For Disease Control And Prevention	GISAID
EPI1333611	yam	B/Osaka/80/2018	ha	Osaka Prefectural Institute Of Public Health	National Institute Of Infectious Diseases (niid)	GISAID
EPI1147319	yam	B/Vietnam/Lisn177/2017	ha	Pasteur Institute, Influenza Laboratory	Centers For Disease Control And Prevention	GISAID
EPI1340770	yam	B/Macau/604328/2017	ha	Who Chinese National Influenza Center	Who Chinese National Influenza Center	GISAID
EPI1225942	yam	B/AbuDhabi/215/2017	ha	Shaikh Khalifa Medical City	Centers For Disease Control And Prevention	GISAID
EPI1088826	yam	B/Bahrain/201/2017	ha	Ministry Of Health Bahrain	Centers For Disease Control And Prevention	GISAID
EPI1082562	yam	B/Perth/4/2017	ha	Pathwest Qe Ii Medical Centre	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI955496	yam	B/Bahrain/877/2016	ha	Ministry Of Health Bahrain	Centers For Disease Control And Prevention	GISAID
EPI1025422	yam	B/Bangladesh/3037/2017	ha	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)	Centers For Disease Control And Prevention	GISAID
EPI904006	yam	B/SriLanka/31/2016	ha	Medical Research Institute	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI1263512	yam	B/Newcastle/9/2018	ha	John Hunter Hospital	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI1275001	yam	B/Nagano-C/44/2018	ha	Nagano City Health Center	National Institute Of Infectious Diseases (niid)	GISAID
EPI1319810	yam	B/Oman/3290/2018	ha	Central Public Health Laboratory, Ministry Of Health	Crick Worldwide Influenza Centre	GISAID
EPI1278207	yam	B/India/2471/2018	ha	National Institute Of Virology	Centers For Disease Control And Prevention	GISAID
EPI1329008	yam	B/Mauritius/I-784/2018	ha	Central Health Laboratory	Crick Worldwide Influenza Centre	GISAID
EPI1585874	yam	B/Congo/334/2019	ha	Inrb Service De Virologie	Centers For Disease Control And Prevention	GISAID
EPI1583580	yam	B/Aichi/32/2019	ha	Aichi Prefectural Institute Of Public Health	National Institute Of Infectious Diseases (niid)	GISAID
EPI1673980	yam	B/SouthAustralia/23/2019	ha	Institute Of Medical And Veterinary Science (imvs)	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI1141230	yam	B/Iran/88763/2017	ha	Tehran University Of Medical Sciences	Crick Worldwide Influenza Centre	GISAID
EPI1113688	yam	B/Oman/3176/2017	ha	Central Public Health Laboratory, Ministry Of Health	Crick Worldwide Influenza Centre	GISAID
EPI1088850	yam	B/Bahrain/227/2017	ha	Ministry Of Health Bahrain	Centers For Disease Control And Prevention	GISAID
EPI1260451	yam	B/Kanagawa/98/2018	ha	Kanagawa Prefectural Institute Of Public Health	National Institute Of Infectious Diseases (niid)	GISAID
EPI1150102	yam	B/Kanagawa/IC1712/2017	ha	National Institute Of Infectious Diseases (niid)	National Institute Of Infectious Diseases (niid)	GISAID
EPI1147401	yam	B/Saitama/190/2017	ha	Saitama Institute Of Public Health	Centers For Disease Control And Prevention	GISAID
EPI1077144	yam	B/Osaka/12/2017	ha	Osaka Prefectural Institute Of Public Health	National Institute Of Infectious Diseases (niid)	GISAID
EPI1183306	yam	B/Missouri/3/2018	ha	Missouri Department. Of Health & Senior Services	Centers For Disease Control And Prevention	GISAID
EPI1434625	yam	B/Brisbane/1/2019	ha	Queensland Health Scientific Services	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI1283061	yam	B/Canterbury/1/2018	ha	Institute Of Environmental Science And Research	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI1378267	yam	B/Niedersachsen/144/2018	ha		Robert Koch Institute Nationales Referenzzentrum F?r Influenza	GISAID
EPI1206733	yam	B/PuertoRico/5/2018	ha	Puerto Rico Department Of Health	Centers For Disease Control And Prevention	GISAID
EPI1544953	yam	B/Haiti/10278/2019	ha	Laboratoire National De Sante Publique	Centers For Disease Control And Prevention	GISAID
EPI1718342	yam	B/Peru/5195/2019	ha	Laboratorio De Referencia Nacional Virus Respiratorios, Instituto Nacional De Salud	Centers For Disease Control And Prevention	GISAID
EPI1602747	yam	B/Alaska/8/2019	ha	Alaska State Virology Lab	Centers For Disease Control And Prevention	GISAID
EPI1618207	yam	B/Alaska/11/2019	ha	Alaska State Virology Lab	Centers For Disease Control And Prevention	GISAID
EPI1643542	yam	B/Peru/719/2019	ha	Laboratorio De Referencia Nacional Virus Respiratorios, Instituto Nacional De Salud	Centers For Disease Control And Prevention	GISAID
EPI1354873	yam	B/Ireland/78367/2018	ha	Ucd National Virus Reference Laboratory  	Crick Worldwide Influenza Centre	GISAID
EPI1628988	yam	B/Guam/204/2019	ha	Laboratorio Nacional De Salud Guatemala	Centers For Disease Control And Prevention	GISAID
EPI1618611	yam	B/Nicaragua/1086/2019	ha	Laboratorio De Virologia, Direccion De Microbiologia	Centers For Disease Control And Prevention	GISAID
EPI1641096	yam	B/Denmark/13/2019	ha	Statens Serum Institute	Statens Serum Institute	GISAID
EPI1711040	yam	B/Spain/11425/2019	ha	U.s. Air Force School Of Aerospace Medicine 	U.s. Air Force School Of Aerospace Medicine	GISAID
EPI1165077	yam	B/Alabama/17/2017	ha	Adph Bureau Of Clinical Laboratories	Centers For Disease Control And Prevention	GISAID
EPI1173252	yam	B/England/80120223/2017	ha	Microbiology Services Colindale, Public Health England	Microbiology Services Colindale, Public Health England	GISAID
EPI1590274	yam	B/Tasmania/503/2019	ha	Hobart Pathology	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI1584186	yam	B/WallisAndFutuna/4/2019	ha	Institut Pasteur New Caledonia	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI1606904	yam	B/NorthCarolina/5/2019	ha	North Carolina State Laboratory Of Public Health	Centers For Disease Control And Prevention	GISAID
EPI1638917	yam	B/Paris/2569/2019	ha	Institut Pasteur	Institut Pasteur	GISAID
EPI1643518	yam	B/Peru/9319/2019	ha	Laboratorio De Referencia Nacional Virus Respiratorios, Instituto Nacional De Salud	Centers For Disease Control And Prevention	GISAID
EPI1602675	yam	B/Peru/6719/2019	ha	Laboratorio De Referencia Nacional Virus Respiratorios, Instituto Nacional De Salud	Centers For Disease Control And Prevention	GISAID
EPI1265900	yam	B/HongKong/1363/2018	ha	Hong Kong Department Of Health	Centers For Disease Control And Prevention	GISAID
EPI1584217	yam	A/EspiritoSanto/87/2019	ha	Lacen/es   Laboratório Central De Saúde Pública Do Espírito Santo	Instituto Oswaldo Cruz Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	GISAID
EPI1262090	yam	B/Iceland/87/2018	ha	Landspitali   University Hospital 	Crick Worldwide Influenza Centre	GISAID
EPI1592929	yam	B/Lao/920/2019	ha	National Center For Laboratory And Epidemiology	Centers For Disease Control And Prevention	GISAID
EPI1413532	yam	B/Nagano/2722/2018	ha	Nagano Environmental Conservation Research Institute	National Institute Of Infectious Diseases (niid)	GISAID
EPI1317606	yam	B/SouthAfrica/VW0594/2018	ha	National Institute For Communicable Disease	Centers For Disease Control And Prevention	GISAID
EPI1593120	yam	B/Lao/1910/2019	ha	National Center For Laboratory And Epidemiology	Centers For Disease Control And Prevention	GISAID
EPI1583565	yam	B/Aichi/9/2019	ha	Aichi Prefectural Institute Of Public Health	National Institute Of Infectious Diseases (niid)	GISAID
EPI1354875	yam	B/Lyon/CHU/R189884/2018	ha	Cnr Influenza France Sud	Crick Worldwide Influenza Centre	GISAID
EPI1604088	yam	B/Dakar/4/2019	ha	Institut Pasteur De Dakar  	Crick Worldwide Influenza Centre	GISAID
EPI1584526	yam	B/Perth/20/2019	ha	Pathwest Qe Ii Medical Centre	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI1332080	yam	B/Primorie/4597V/2018	ha		State Research Center Of Virology And Biotechnology (vector)	GISAID
EPI1420255	yam	B/Parana/72/2019	ha	Laboratório Central Do Estado Do Paraná   Lacen/pr	Instituto Oswaldo Cruz Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	GISAID
EPI1843282	yam	B/VictoriA/27/2020	ha	Alfred Hospital	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI1629585	yam	B/HongKong/954/2019	ha	Hong Kong Department Of Health	Hong Kong Department Of Health	GISAID
EPI1629586	yam	B/HongKong/960/2019	ha	Hong Kong Department Of Health	Hong Kong Department Of Health	GISAID
EPI1693976	yam	B/Minnesota/7/2020	ha	Minnesota Department Of Health	Centers For Disease Control And Prevention	GISAID
EPI1638167	yam	B/NewJersey/12/2019	ha	New Jersey Department Of Health & Senior Services	Centers For Disease Control And Prevention	GISAID
EPI1674656	yam	B/Austria/1199466/2019	ha	Department Of Virology, Medical University Vienna	Crick Worldwide Influenza Centre	GISAID
EPI1705549	yam	B/NorthDakota/7/2020	ha	North Dakota Department Of Health	Centers For Disease Control And Prevention	GISAID
EPI1656481	yam	B/VinaDelMar/85466/2019	ha	Instituto De Salud Publica De Chile	Instituto De Salud Publica De Chile	GISAID
EPI1765758	yam	B/Santiago/11914/2020	ha	Instituto De Salud Publica De Chile	Centers For Disease Control And Prevention	GISAID
EPI1544925	yam	B/Santiago/44453/2019	ha	Instituto De Salud Publica De Chile	Centers For Disease Control And Prevention	GISAID
EPI1628764	yam	B/California/51/2019	ha	California Department Of Health Services	Centers For Disease Control And Prevention	GISAID
EPI1801525	yam	B/Yamanashi/19411/2019	ha	Yamanashi Institute For Public Health	Centers For Disease Control And Prevention	GISAID
EPI1656122	yam	B/Santiago/72131/2019	ha	Instituto De Salud Publica De Chile	Instituto De Salud Publica De Chile	GISAID
EPI1663255	yam	B/Chile/7845/2019	ha	Instituto De Salud Publica De Chile	Centers For Disease Control And Prevention	GISAID
EPI1686831	yam	B/Osorno/95220/2019	ha	Instituto De Salud Publica De Chile	Centers For Disease Control And Prevention	GISAID
EPI1748426	yam	B/Trinidad/6945/2020	ha	Caribbean Epidemiology Center	Centers For Disease Control And Prevention	GISAID
EPI1574846	yam	B/Santiago/64093/2019	ha	Instituto De Salud Publica De Chile	Instituto De Salud Publica De Chile	GISAID
EPI1574132	yam	B/WestVirginia/11/2019	ha	West Virginia Office Of Laboratory Services	Centers For Disease Control And Prevention	GISAID
EPI1311990	yam	B/Bahrain/450/2018	ha	Ministry Of Health Bahrain	Centers For Disease Control And Prevention	GISAID
EPI1315031	yam	B/Taiwan/79333/2018	ha	Adimmune Corporation	Centers For Disease Control And Prevention	GISAID
EPI1242850	yam	B/Yokosuka/3/2018	ha	Yokosuka Institute Of Public Health	National Institute Of Infectious Diseases (niid)	GISAID
EPI1272233	yam	B/Serbia/1179/2018	ha	Institute Of Immunology And Virology Torlak	Centers For Disease Control And Prevention	GISAID
EPI1266128	yam	B/Philippines/103/2018	ha	Center For Medical Microbiology	Centers For Disease Control And Prevention	GISAID
EPI1044799	yam	B/Nonthaburi/30/2017	ha	Who National Influenza Centre, National Institute Of Medical Research (nimr)	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI1495218	yam	B/Bangladesh/10/2019	ha	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)	Centers For Disease Control And Prevention	GISAID
EPI842798	yam	B/Kristianstad/1/2016	ha		Swedish Institute For Infectious Disease Control	GISAID
EPI1223639	yam	B/Okinawa/54/2017	ha	Okinawa Prefectural Institute Of Health And Environment	National Institute Of Infectious Diseases (niid)	GISAID
EPI1062346	yam	B/Hunan-Wuling/11250/2017	ha	Who Chinese National Influenza Center	Who Chinese National Influenza Center	GISAID
EPI1062340	yam	B/Shanghai-Huangpu/1633/2017	ha	Who Chinese National Influenza Center	Who Chinese National Influenza Center	GISAID
