Accession	Segment	Strain	Virus	Author	Publication_Title	Journal	Database
LC125029	NS	Influenza C virus (C/Yamagata/7/2012)	influenzaC	Matsuzaki,Y., Sugawara,K., Furuse,Y., Shimotai,Y., Hongo,S., Oshitani,H., Mizuta,K. and Nishimura,H.	Genetic Lineage and Reassortment of Influenza C Viruses Circulating between 1947 and 2014	J. Virol. 90 (18), 8251-8265 (2016)	NCBI Virus, Genbank
LC125031	NS	Influenza C virus (C/Yamagata/28/2012)	influenzaC	Matsuzaki,Y., Sugawara,K., Furuse,Y., Shimotai,Y., Hongo,S., Oshitani,H., Mizuta,K. and Nishimura,H.	Genetic Lineage and Reassortment of Influenza C Viruses Circulating between 1947 and 2014	J. Virol. 90 (18), 8251-8265 (2016)	NCBI Virus, Genbank
LC125036	NS	Influenza C virus (C/Yamagata/13/2014)	influenzaC	Matsuzaki,Y., Sugawara,K., Furuse,Y., Shimotai,Y., Hongo,S., Oshitani,H., Mizuta,K. and Nishimura,H.	Genetic Lineage and Reassortment of Influenza C Viruses Circulating between 1947 and 2014	J. Virol. 90 (18), 8251-8265 (2016)	NCBI Virus, Genbank
LC125037	NS	Influenza C virus (C/Yamagata/16/2014)	influenzaC	Matsuzaki,Y., Sugawara,K., Furuse,Y., Shimotai,Y., Hongo,S., Oshitani,H., Mizuta,K. and Nishimura,H.	Genetic Lineage and Reassortment of Influenza C Viruses Circulating between 1947 and 2014	J. Virol. 90 (18), 8251-8265 (2016)	NCBI Virus, Genbank
LC125041	NS	Influenza C virus (C/Yamagata/35/2014)	influenzaC	Matsuzaki,Y., Sugawara,K., Furuse,Y., Shimotai,Y., Hongo,S., Oshitani,H., Mizuta,K. and Nishimura,H.	Genetic Lineage and Reassortment of Influenza C Viruses Circulating between 1947 and 2014	J. Virol. 90 (18), 8251-8265 (2016)	NCBI Virus, Genbank
LC125042	NS	Influenza C virus (C/Miyagi/2/2014)	influenzaC	Matsuzaki,Y., Sugawara,K., Furuse,Y., Shimotai,Y., Hongo,S., Oshitani,H., Mizuta,K. and Nishimura,H.	Genetic Lineage and Reassortment of Influenza C Viruses Circulating between 1947 and 2014	J. Virol. 90 (18), 8251-8265 (2016)	NCBI Virus, Genbank
MZ330884	NS	Influenza C virus	influenzaC	Okamoto,M. and Fujita,D.	Direct Submission	Submitted (02-JUN-2021) Virology, Graduate school of Medicine, Tohoku University, 2-1 Seiryo-machi, Aoba-ku, Sendai, Miyagi 980-8595, Japan	NCBI Virus, Genbank
MZ330891	NS	Influenza C virus	influenzaC	Okamoto,M. and Fujita,D.	Direct Submission	Submitted (02-JUN-2021) Virology, Graduate school of Medicine, Tohoku University, 2-1 Seiryo-machi, Aoba-ku, Sendai, Miyagi 980-8595, Japan	NCBI Virus, Genbank
MZ330898	NS	Influenza C virus	influenzaC	Okamoto,M. and Fujita,D.	Direct Submission	Submitted (02-JUN-2021) Virology, Graduate school of Medicine, Tohoku University, 2-1 Seiryo-machi, Aoba-ku, Sendai, Miyagi 980-8595, Japan	NCBI Virus, Genbank
MZ330947	NS	Influenza C virus	influenzaC	Okamoto,M. and Fujita,D.	Direct Submission	Submitted (02-JUN-2021) Virology, Graduate school of Medicine, Tohoku University, 2-1 Seiryo-machi, Aoba-ku, Sendai, Miyagi 980-8595, Japan	NCBI Virus, Genbank
LC124989	NS	Influenza C virus (C/Miyagi/4/2002)	influenzaC	Matsuzaki,Y., Sugawara,K., Furuse,Y., Shimotai,Y., Hongo,S., Oshitani,H., Mizuta,K. and Nishimura,H.	Genetic Lineage and Reassortment of Influenza C Viruses Circulating between 1947 and 2014	J. Virol. 90 (18), 8251-8265 (2016)	NCBI Virus, Genbank
AB086805	NS	Influenza C virus (C/Miyagi/9/96)	influenzaC	Matsuzaki,Y., Mizuta,K., Sugawara,K., Tsuchiya,E., Muraki,Y., Hongo,S., Suzuki,H. and Nishimura,H.	Frequent reassortment among influenza C viruses	J. Virol. 77 (2), 871-881 (2003)	NCBI Virus, Genbank
AB099609	NS	Influenza C virus (C/Miyagi/2/2000)	influenzaC	Matsuzaki,Y., Takao,S., Shimada,S., Mizuta,K., Sugawara,K., Takashita,E., Muraki,Y., Hongo,S. and Nishimura,H.	Characterization of antigenically and genetically similar influenza C viruses isolated in Japan during the 1999-2000 season	Epidemiol. Infect. 132 (4), 709-720 (2004)	NCBI Virus, Genbank
AB099612	NS	Influenza C virus (C/Miyagi/5/2000)	influenzaC	Matsuzaki,Y., Takao,S., Shimada,S., Mizuta,K., Sugawara,K., Takashita,E., Muraki,Y., Hongo,S. and Nishimura,H.	Characterization of antigenically and genetically similar influenza C viruses isolated in Japan during the 1999-2000 season	Epidemiol. Infect. 132 (4), 709-720 (2004)	NCBI Virus, Genbank
AB099615	NS	Influenza C virus (C/Saitama/3/2000)	influenzaC	Matsuzaki,Y., Takao,S., Shimada,S., Mizuta,K., Sugawara,K., Takashita,E., Muraki,Y., Hongo,S. and Nishimura,H.	Characterization of antigenically and genetically similar influenza C viruses isolated in Japan during the 1999-2000 season	Epidemiol. Infect. 132 (4), 709-720 (2004)	NCBI Virus, Genbank
AB099619	NS	Influenza C virus (C/Hiroshima/246/2000)	influenzaC	Matsuzaki,Y., Takao,S., Shimada,S., Mizuta,K., Sugawara,K., Takashita,E., Muraki,Y., Hongo,S. and Nishimura,H.	Characterization of antigenically and genetically similar influenza C viruses isolated in Japan during the 1999-2000 season	Epidemiol. Infect. 132 (4), 709-720 (2004)	NCBI Virus, Genbank
AB099622	NS	Influenza C virus (C/Hiroshima/250/2000)	influenzaC	Matsuzaki,Y., Takao,S., Shimada,S., Mizuta,K., Sugawara,K., Takashita,E., Muraki,Y., Hongo,S. and Nishimura,H.	Characterization of antigenically and genetically similar influenza C viruses isolated in Japan during the 1999-2000 season	Epidemiol. Infect. 132 (4), 709-720 (2004)	NCBI Virus, Genbank
AB099623	NS	Influenza C virus (C/Hiroshima/251/2000)	influenzaC	Matsuzaki,Y., Takao,S., Shimada,S., Mizuta,K., Sugawara,K., Takashita,E., Muraki,Y., Hongo,S. and Nishimura,H.	Characterization of antigenically and genetically similar influenza C viruses isolated in Japan during the 1999-2000 season	Epidemiol. Infect. 132 (4), 709-720 (2004)	NCBI Virus, Genbank
AB985616	NS	Influenza C virus (C/Leyte/1/2011)	influenzaC	Odagiri,T., Matsuzaki,Y., Okamoto,M., Hongo,S. and Oshitani,H.	Antigenic and molecular characterization of influenza C viruses isolated in the Philippines and Japan	Unpublished	NCBI Virus, Genbank
AB985617	NS	Influenza C virus (C/Leyte/2/2011)	influenzaC	Odagiri,T., Matsuzaki,Y., Okamoto,M., Hongo,S. and Oshitani,H.	Antigenic and molecular characterization of influenza C viruses isolated in the Philippines and Japan	Unpublished	NCBI Virus, Genbank
AB985618	NS	Influenza C virus (C/Leyte/3/2011)	influenzaC	Odagiri,T., Matsuzaki,Y., Okamoto,M., Hongo,S. and Oshitani,H.	Antigenic and molecular characterization of influenza C viruses isolated in the Philippines and Japan	Unpublished	NCBI Virus, Genbank
AB985631	NS	Influenza C virus (C/Palawan/1/2013)	influenzaC	Odagiri,T., Matsuzaki,Y., Okamoto,M., Hongo,S. and Oshitani,H.	Antigenic and molecular characterization of influenza C viruses isolated in the Philippines and Japan	Unpublished	NCBI Virus, Genbank
LC124987	NS	Influenza C virus (C/Yamagata/5/2002)	influenzaC	Matsuzaki,Y., Sugawara,K., Furuse,Y., Shimotai,Y., Hongo,S., Oshitani,H., Mizuta,K. and Nishimura,H.	Genetic Lineage and Reassortment of Influenza C Viruses Circulating between 1947 and 2014	J. Virol. 90 (18), 8251-8265 (2016)	NCBI Virus, Genbank
LC124992	NS	Influenza C virus (C/Miyagi/28/2002)	influenzaC	Matsuzaki,Y., Sugawara,K., Furuse,Y., Shimotai,Y., Hongo,S., Oshitani,H., Mizuta,K. and Nishimura,H.	Genetic Lineage and Reassortment of Influenza C Viruses Circulating between 1947 and 2014	J. Virol. 90 (18), 8251-8265 (2016)	NCBI Virus, Genbank
LC124993	NS	Influenza C virus (C/Miyagi/31/2002)	influenzaC	Matsuzaki,Y., Sugawara,K., Furuse,Y., Shimotai,Y., Hongo,S., Oshitani,H., Mizuta,K. and Nishimura,H.	Genetic Lineage and Reassortment of Influenza C Viruses Circulating between 1947 and 2014	J. Virol. 90 (18), 8251-8265 (2016)	NCBI Virus, Genbank
LC125003	NS	Influenza C virus (C/Miyagi/47/2004)	influenzaC	Matsuzaki,Y., Sugawara,K., Furuse,Y., Shimotai,Y., Hongo,S., Oshitani,H., Mizuta,K. and Nishimura,H.	Genetic Lineage and Reassortment of Influenza C Viruses Circulating between 1947 and 2014	J. Virol. 90 (18), 8251-8265 (2016)	NCBI Virus, Genbank
LC124988	NS	Influenza C virus (C/Yamagata/7/2002)	influenzaC	Matsuzaki,Y., Sugawara,K., Furuse,Y., Shimotai,Y., Hongo,S., Oshitani,H., Mizuta,K. and Nishimura,H.	Genetic Lineage and Reassortment of Influenza C Viruses Circulating between 1947 and 2014	J. Virol. 90 (18), 8251-8265 (2016)	NCBI Virus, Genbank
LC124990	NS	Influenza C virus (C/Miyagi/11/2002)	influenzaC	Matsuzaki,Y., Sugawara,K., Furuse,Y., Shimotai,Y., Hongo,S., Oshitani,H., Mizuta,K. and Nishimura,H.	Genetic Lineage and Reassortment of Influenza C Viruses Circulating between 1947 and 2014	J. Virol. 90 (18), 8251-8265 (2016)	NCBI Virus, Genbank
LC124997	NS	Influenza C virus (C/Yamagata/18/2004)	influenzaC	Matsuzaki,Y., Sugawara,K., Furuse,Y., Shimotai,Y., Hongo,S., Oshitani,H., Mizuta,K. and Nishimura,H.	Genetic Lineage and Reassortment of Influenza C Viruses Circulating between 1947 and 2014	J. Virol. 90 (18), 8251-8265 (2016)	NCBI Virus, Genbank
LC124999	NS	Influenza C virus (C/Yamagata/27/2004)	influenzaC	Matsuzaki,Y., Sugawara,K., Furuse,Y., Shimotai,Y., Hongo,S., Oshitani,H., Mizuta,K. and Nishimura,H.	Genetic Lineage and Reassortment of Influenza C Viruses Circulating between 1947 and 2014	J. Virol. 90 (18), 8251-8265 (2016)	NCBI Virus, Genbank
LC125001	NS	Influenza C virus (C/Miyagi/25/2004)	influenzaC	Matsuzaki,Y., Sugawara,K., Furuse,Y., Shimotai,Y., Hongo,S., Oshitani,H., Mizuta,K. and Nishimura,H.	Genetic Lineage and Reassortment of Influenza C Viruses Circulating between 1947 and 2014	J. Virol. 90 (18), 8251-8265 (2016)	NCBI Virus, Genbank
LC125000	NS	Influenza C virus (C/Miyagi/12/2004)	influenzaC	Matsuzaki,Y., Sugawara,K., Furuse,Y., Shimotai,Y., Hongo,S., Oshitani,H., Mizuta,K. and Nishimura,H.	Genetic Lineage and Reassortment of Influenza C Viruses Circulating between 1947 and 2014	J. Virol. 90 (18), 8251-8265 (2016)	NCBI Virus, Genbank
LC125002	NS	Influenza C virus (C/Miyagi/42/2004)	influenzaC	Matsuzaki,Y., Sugawara,K., Furuse,Y., Shimotai,Y., Hongo,S., Oshitani,H., Mizuta,K. and Nishimura,H.	Genetic Lineage and Reassortment of Influenza C Viruses Circulating between 1947 and 2014	J. Virol. 90 (18), 8251-8265 (2016)	NCBI Virus, Genbank
MZ330926	NS	Influenza C virus	influenzaC	Okamoto,M. and Fujita,D.	Direct Submission	Submitted (02-JUN-2021) Virology, Graduate school of Medicine, Tohoku University, 2-1 Seiryo-machi, Aoba-ku, Sendai, Miyagi 980-8595, Japan	NCBI Virus, Genbank
MZ330933	NS	Influenza C virus	influenzaC	Okamoto,M. and Fujita,D.	Direct Submission	Submitted (02-JUN-2021) Virology, Graduate school of Medicine, Tohoku University, 2-1 Seiryo-machi, Aoba-ku, Sendai, Miyagi 980-8595, Japan	NCBI Virus, Genbank
MZ330940	NS	Influenza C virus	influenzaC	Okamoto,M. and Fujita,D.	Direct Submission	Submitted (02-JUN-2021) Virology, Graduate school of Medicine, Tohoku University, 2-1 Seiryo-machi, Aoba-ku, Sendai, Miyagi 980-8595, Japan	NCBI Virus, Genbank
MZ330905	NS	Influenza C virus	influenzaC	Okamoto,M. and Fujita,D.	Direct Submission	Submitted (02-JUN-2021) Virology, Graduate school of Medicine, Tohoku University, 2-1 Seiryo-machi, Aoba-ku, Sendai, Miyagi 980-8595, Japan	NCBI Virus, Genbank
MZ330996	NS	Influenza C virus	influenzaC	Okamoto,M. and Fujita,D.	Direct Submission	Submitted (02-JUN-2021) Virology, Graduate school of Medicine, Tohoku University, 2-1 Seiryo-machi, Aoba-ku, Sendai, Miyagi 980-8595, Japan	NCBI Virus, Genbank
AB985628	NS	Influenza C virus (C/Leyte/1/2013)	influenzaC	Odagiri,T., Matsuzaki,Y., Okamoto,M., Hongo,S. and Oshitani,H.	Antigenic and molecular characterization of influenza C viruses isolated in the Philippines and Japan	Unpublished	NCBI Virus, Genbank
MZ330954	NS	Influenza C virus	influenzaC	Okamoto,M. and Fujita,D.	Direct Submission	Submitted (02-JUN-2021) Virology, Graduate school of Medicine, Tohoku University, 2-1 Seiryo-machi, Aoba-ku, Sendai, Miyagi 980-8595, Japan	NCBI Virus, Genbank
MZ330975	NS	Influenza C virus	influenzaC	Okamoto,M. and Fujita,D.	Direct Submission	Submitted (02-JUN-2021) Virology, Graduate school of Medicine, Tohoku University, 2-1 Seiryo-machi, Aoba-ku, Sendai, Miyagi 980-8595, Japan	NCBI Virus, Genbank
MZ331003	NS	Influenza C virus	influenzaC	Okamoto,M. and Fujita,D.	Direct Submission	Submitted (02-JUN-2021) Virology, Graduate school of Medicine, Tohoku University, 2-1 Seiryo-machi, Aoba-ku, Sendai, Miyagi 980-8595, Japan	NCBI Virus, Genbank
MZ331010	NS	Influenza C virus	influenzaC	Okamoto,M. and Fujita,D.	Direct Submission	Submitted (02-JUN-2021) Virology, Graduate school of Medicine, Tohoku University, 2-1 Seiryo-machi, Aoba-ku, Sendai, Miyagi 980-8595, Japan	NCBI Virus, Genbank
AB985625	NS	Influenza C virus (C/Biliran/1/2013)	influenzaC	Odagiri,T., Matsuzaki,Y., Okamoto,M., Hongo,S. and Oshitani,H.	Antigenic and molecular characterization of influenza C viruses isolated in the Philippines and Japan	Unpublished	NCBI Virus, Genbank
AB985630	NS	Influenza C virus (C/Leyte/3/2013)	influenzaC	Odagiri,T., Matsuzaki,Y., Okamoto,M., Hongo,S. and Oshitani,H.	Antigenic and molecular characterization of influenza C viruses isolated in the Philippines and Japan	Unpublished	NCBI Virus, Genbank
AB985626	NS	Influenza C virus (C/Biliran/2/2013)	influenzaC	Odagiri,T., Matsuzaki,Y., Okamoto,M., Hongo,S. and Oshitani,H.	Antigenic and molecular characterization of influenza C viruses isolated in the Philippines and Japan	Unpublished	NCBI Virus, Genbank
AB985629	NS	Influenza C virus (C/Leyte/2/2013)	influenzaC	Odagiri,T., Matsuzaki,Y., Okamoto,M., Hongo,S. and Oshitani,H.	Antigenic and molecular characterization of influenza C viruses isolated in the Philippines and Japan	Unpublished	NCBI Virus, Genbank
AB985627	NS	Influenza C virus (C/Biliran/3/2013)	influenzaC	Odagiri,T., Matsuzaki,Y., Okamoto,M., Hongo,S. and Oshitani,H.	Antigenic and molecular characterization of influenza C viruses isolated in the Philippines and Japan	Unpublished	NCBI Virus, Genbank
AB099606	NS	Influenza C virus (C/Yamagata/3/2000)	influenzaC	Matsuzaki,Y., Takao,S., Shimada,S., Mizuta,K., Sugawara,K., Takashita,E., Muraki,Y., Hongo,S. and Nishimura,H.	Characterization of antigenically and genetically similar influenza C viruses isolated in Japan during the 1999-2000 season	Epidemiol. Infect. 132 (4), 709-720 (2004)	NCBI Virus, Genbank
AB099614	NS	Influenza C virus (C/Saitama/2/2000)	influenzaC	Matsuzaki,Y., Takao,S., Shimada,S., Mizuta,K., Sugawara,K., Takashita,E., Muraki,Y., Hongo,S. and Nishimura,H.	Characterization of antigenically and genetically similar influenza C viruses isolated in Japan during the 1999-2000 season	Epidemiol. Infect. 132 (4), 709-720 (2004)	NCBI Virus, Genbank
AB086798	NS	Influenza C virus (C/Miyagi/2/94)	influenzaC	Matsuzaki,Y., Mizuta,K., Sugawara,K., Tsuchiya,E., Muraki,Y., Hongo,S., Suzuki,H. and Nishimura,H.	Frequent reassortment among influenza C viruses	J. Virol. 77 (2), 871-881 (2003)	NCBI Virus, Genbank
AB086790	NS	Influenza C virus (C/Miyagi/1/93)	influenzaC	Matsuzaki,Y., Mizuta,K., Sugawara,K., Tsuchiya,E., Muraki,Y., Hongo,S., Suzuki,H. and Nishimura,H.	Frequent reassortment among influenza C viruses	J. Virol. 77 (2), 871-881 (2003)	NCBI Virus, Genbank
AB086791	NS	Influenza C virus (C/Miyagi/2/93)	influenzaC	Matsuzaki,Y., Mizuta,K., Sugawara,K., Tsuchiya,E., Muraki,Y., Hongo,S., Suzuki,H. and Nishimura,H.	Frequent reassortment among influenza C viruses	J. Virol. 77 (2), 871-881 (2003)	NCBI Virus, Genbank
AB086795	NS	Influenza C virus (C/Miyagi/6/93)	influenzaC	Matsuzaki,Y., Mizuta,K., Sugawara,K., Tsuchiya,E., Muraki,Y., Hongo,S., Suzuki,H. and Nishimura,H.	Frequent reassortment among influenza C viruses	J. Virol. 77 (2), 871-881 (2003)	NCBI Virus, Genbank
AB086797	NS	Influenza C virus (C/Miyagi/1/94)	influenzaC	Matsuzaki,Y., Mizuta,K., Sugawara,K., Tsuchiya,E., Muraki,Y., Hongo,S., Suzuki,H. and Nishimura,H.	Frequent reassortment among influenza C viruses	J. Virol. 77 (2), 871-881 (2003)	NCBI Virus, Genbank
AB086799	NS	Influenza C virus (C/Miyagi/3/94)	influenzaC	Matsuzaki,Y., Mizuta,K., Sugawara,K., Tsuchiya,E., Muraki,Y., Hongo,S., Suzuki,H. and Nishimura,H.	Frequent reassortment among influenza C viruses	J. Virol. 77 (2), 871-881 (2003)	NCBI Virus, Genbank
AB086804	NS	Influenza C virus (C/Miyagi/8/96)	influenzaC	Matsuzaki,Y., Mizuta,K., Sugawara,K., Tsuchiya,E., Muraki,Y., Hongo,S., Suzuki,H. and Nishimura,H.	Frequent reassortment among influenza C viruses	J. Virol. 77 (2), 871-881 (2003)	NCBI Virus, Genbank
AB086789	NS	Influenza C virus (C/Miyagi/2/92)	influenzaC	Matsuzaki,Y., Mizuta,K., Sugawara,K., Tsuchiya,E., Muraki,Y., Hongo,S., Suzuki,H. and Nishimura,H.	Frequent reassortment among influenza C viruses	J. Virol. 77 (2), 871-881 (2003)	NCBI Virus, Genbank
AB064439	NS	Influenza C virus (C/Yamagata/3/96)	influenzaC	Matsuzaki,Y., Sugawara,K., Mizuta,K., Tsuchiya,E., Muraki,Y., Hongo,S., Suzuki,H. and Nakamura,K.	Antigenic and genetic characterization of influenza C viruses which caused two outbreaks in Yamagata City, Japan, in 1996 and 1998	J. Clin. Microbiol. 40 (2), 422-429 (2002)	NCBI Virus, Genbank
AB064440	NS	Influenza C virus (C/Yamagata/8/96)	influenzaC	Matsuzaki,Y., Sugawara,K., Mizuta,K., Tsuchiya,E., Muraki,Y., Hongo,S., Suzuki,H. and Nakamura,K.	Antigenic and genetic characterization of influenza C viruses which caused two outbreaks in Yamagata City, Japan, in 1996 and 1998	J. Clin. Microbiol. 40 (2), 422-429 (2002)	NCBI Virus, Genbank
LC124983	NS	Influenza C virus (C/Yamagata/7/81)	influenzaC	Matsuzaki,Y., Sugawara,K., Furuse,Y., Shimotai,Y., Hongo,S., Oshitani,H., Mizuta,K. and Nishimura,H.	Genetic Lineage and Reassortment of Influenza C Viruses Circulating between 1947 and 2014	J. Virol. 90 (18), 8251-8265 (2016)	NCBI Virus, Genbank
LC124984	NS	Influenza C virus (C/Yamagata/10/1981)	influenzaC	Matsuzaki,Y., Sugawara,K., Furuse,Y., Shimotai,Y., Hongo,S., Oshitani,H., Mizuta,K. and Nishimura,H.	Genetic Lineage and Reassortment of Influenza C Viruses Circulating between 1947 and 2014	J. Virol. 90 (18), 8251-8265 (2016)	NCBI Virus, Genbank
LC124986	NS	Influenza C virus (C/Yamagata/4/92)	influenzaC	Matsuzaki,Y., Sugawara,K., Furuse,Y., Shimotai,Y., Hongo,S., Oshitani,H., Mizuta,K. and Nishimura,H.	Genetic Lineage and Reassortment of Influenza C Viruses Circulating between 1947 and 2014	J. Virol. 90 (18), 8251-8265 (2016)	NCBI Virus, Genbank
AB086788	NS	Influenza C virus (C/Shizuoka/79)	influenzaC	Matsuzaki,Y., Mizuta,K., Sugawara,K., Tsuchiya,E., Muraki,Y., Hongo,S., Suzuki,H. and Nishimura,H.	Frequent reassortment among influenza C viruses	J. Virol. 77 (2), 871-881 (2003)	NCBI Virus, Genbank
LC603651	NS	Influenza C virus	influenzaC	Matsuzaki,Y., Sugawara,K., Shimotai,Y., Kadowaki,Y., Hongo,S., Mizuta,K. and Nishimura,H.	Growth Kinetics of Influenza C Virus Antigenic Mutants That Escaped from Anti-Hemagglutinin Esterase Monoclonal Antibodies and Viral Antigenic Changes Found in Field Isolates	Viruses 13 (3), 401 (2021)	NCBI Virus, Genbank
LC124995	NS	Influenza C virus (C/Yamagata/14/2004)	influenzaC	Matsuzaki,Y., Sugawara,K., Furuse,Y., Shimotai,Y., Hongo,S., Oshitani,H., Mizuta,K. and Nishimura,H.	Genetic Lineage and Reassortment of Influenza C Viruses Circulating between 1947 and 2014	J. Virol. 90 (18), 8251-8265 (2016)	NCBI Virus, Genbank
LC125004	NS	Influenza C virus (C/Yamagata/1/2005)	influenzaC	Matsuzaki,Y., Sugawara,K., Furuse,Y., Shimotai,Y., Hongo,S., Oshitani,H., Mizuta,K. and Nishimura,H.	Genetic Lineage and Reassortment of Influenza C Viruses Circulating between 1947 and 2014	J. Virol. 90 (18), 8251-8265 (2016)	NCBI Virus, Genbank
LC125006	NS	Influenza C virus (C/Yamagata/3/2005)	influenzaC	Matsuzaki,Y., Sugawara,K., Furuse,Y., Shimotai,Y., Hongo,S., Oshitani,H., Mizuta,K. and Nishimura,H.	Genetic Lineage and Reassortment of Influenza C Viruses Circulating between 1947 and 2014	J. Virol. 90 (18), 8251-8265 (2016)	NCBI Virus, Genbank
LC125005	NS	Influenza C virus (C/Yamagata/2/2005)	influenzaC	Matsuzaki,Y., Sugawara,K., Furuse,Y., Shimotai,Y., Hongo,S., Oshitani,H., Mizuta,K. and Nishimura,H.	Genetic Lineage and Reassortment of Influenza C Viruses Circulating between 1947 and 2014	J. Virol. 90 (18), 8251-8265 (2016)	NCBI Virus, Genbank
LC125007	NS	Influenza C virus (C/Miyagi/2/2005)	influenzaC	Matsuzaki,Y., Sugawara,K., Furuse,Y., Shimotai,Y., Hongo,S., Oshitani,H., Mizuta,K. and Nishimura,H.	Genetic Lineage and Reassortment of Influenza C Viruses Circulating between 1947 and 2014	J. Virol. 90 (18), 8251-8265 (2016)	NCBI Virus, Genbank
LC125011	NS	Influenza C virus (C/Yamagata/1/2006)	influenzaC	Matsuzaki,Y., Sugawara,K., Furuse,Y., Shimotai,Y., Hongo,S., Oshitani,H., Mizuta,K. and Nishimura,H.	Genetic Lineage and Reassortment of Influenza C Viruses Circulating between 1947 and 2014	J. Virol. 90 (18), 8251-8265 (2016)	NCBI Virus, Genbank
LC125008	NS	Influenza C virus (C/Miyagi/4/2005)	influenzaC	Matsuzaki,Y., Sugawara,K., Furuse,Y., Shimotai,Y., Hongo,S., Oshitani,H., Mizuta,K. and Nishimura,H.	Genetic Lineage and Reassortment of Influenza C Viruses Circulating between 1947 and 2014	J. Virol. 90 (18), 8251-8265 (2016)	NCBI Virus, Genbank
LC125013	NS	Influenza C virus (C/Yamagata/13/2006)	influenzaC	Matsuzaki,Y., Sugawara,K., Furuse,Y., Shimotai,Y., Hongo,S., Oshitani,H., Mizuta,K. and Nishimura,H.	Genetic Lineage and Reassortment of Influenza C Viruses Circulating between 1947 and 2014	J. Virol. 90 (18), 8251-8265 (2016)	NCBI Virus, Genbank
LC125010	NS	Influenza C virus (C/Fukuoka/2/2006)	influenzaC	Matsuzaki,Y., Sugawara,K., Furuse,Y., Shimotai,Y., Hongo,S., Oshitani,H., Mizuta,K. and Nishimura,H.	Genetic Lineage and Reassortment of Influenza C Viruses Circulating between 1947 and 2014	J. Virol. 90 (18), 8251-8265 (2016)	NCBI Virus, Genbank
LC124985	NS	Influenza C virus (C/England/892/1983)	influenzaC	Matsuzaki,Y., Sugawara,K., Furuse,Y., Shimotai,Y., Hongo,S., Oshitani,H., Mizuta,K. and Nishimura,H.	Genetic Lineage and Reassortment of Influenza C Viruses Circulating between 1947 and 2014	J. Virol. 90 (18), 8251-8265 (2016)	NCBI Virus, Genbank
LC327658	NS	Influenza C virus (C/Iwate/1/2016)	influenzaC	Takahashi,M., Obara,T., Matsuzaki,Y., Maisawa,S.I., Sasaki,Y., Yoshino,N., Shirasawa,A., Iwabuchi,K., Takahashi,T., Kajita,H., Ono,Y., Ryo,A., Kimura,H. and Muraki,Y.	Cocirculation of Influenza C Viruses with Distinct Internal Genome Constellations in Iwate Prefecture, Japan, in 2016	Jpn. J. Infect. Dis. 71 (5), 393-395 (2018)	NCBI Virus, Genbank
AB985619	NS	Influenza C virus (C/Sendai/TU1/2008)	influenzaC	Odagiri,T., Matsuzaki,Y., Okamoto,M., Hongo,S. and Oshitani,H.	Antigenic and molecular characterization of influenza C viruses isolated in the Philippines and Japan	Unpublished	NCBI Virus, Genbank
AB985622	NS	Influenza C virus (C/Sendai/TU5/2008)	influenzaC	Odagiri,T., Matsuzaki,Y., Okamoto,M., Hongo,S. and Oshitani,H.	Antigenic and molecular characterization of influenza C viruses isolated in the Philippines and Japan	Unpublished	NCBI Virus, Genbank
AB985623	NS	Influenza C virus (C/Sendai/TU1/2012)	influenzaC	Odagiri,T., Matsuzaki,Y., Okamoto,M., Hongo,S. and Oshitani,H.	Antigenic and molecular characterization of influenza C viruses isolated in the Philippines and Japan	Unpublished	NCBI Virus, Genbank
AB985624	NS	Influenza C virus (C/Sendai/TU2/2012)	influenzaC	Odagiri,T., Matsuzaki,Y., Okamoto,M., Hongo,S. and Oshitani,H.	Antigenic and molecular characterization of influenza C viruses isolated in the Philippines and Japan	Unpublished	NCBI Virus, Genbank
AB086808	NS	Influenza C virus (C/Miyagi/4/98)	influenzaC	Matsuzaki,Y., Mizuta,K., Sugawara,K., Tsuchiya,E., Muraki,Y., Hongo,S., Suzuki,H. and Nishimura,H.	Frequent reassortment among influenza C viruses	J. Virol. 77 (2), 871-881 (2003)	NCBI Virus, Genbank
AB064443	NS	Influenza C virus (C/Yamagata/2/98)	influenzaC	Matsuzaki,Y., Sugawara,K., Mizuta,K., Tsuchiya,E., Muraki,Y., Hongo,S., Suzuki,H. and Nakamura,K.	Antigenic and genetic characterization of influenza C viruses which caused two outbreaks in Yamagata City, Japan, in 1996 and 1998	J. Clin. Microbiol. 40 (2), 422-429 (2002)	NCBI Virus, Genbank
AB064444	NS	Influenza C virus (C/Yamagata/6/98)	influenzaC	Matsuzaki,Y., Sugawara,K., Mizuta,K., Tsuchiya,E., Muraki,Y., Hongo,S., Suzuki,H. and Nakamura,K.	Antigenic and genetic characterization of influenza C viruses which caused two outbreaks in Yamagata City, Japan, in 1996 and 1998	J. Clin. Microbiol. 40 (2), 422-429 (2002)	NCBI Virus, Genbank
AB985620	NS	Influenza C virus (C/Sendai/TU2/2008)	influenzaC	Odagiri,T., Matsuzaki,Y., Okamoto,M., Hongo,S. and Oshitani,H.	Antigenic and molecular characterization of influenza C viruses isolated in the Philippines and Japan	Unpublished	NCBI Virus, Genbank
AB985621	NS	Influenza C virus (C/Sendai/TU3/2008)	influenzaC	Odagiri,T., Matsuzaki,Y., Okamoto,M., Hongo,S. and Oshitani,H.	Antigenic and molecular characterization of influenza C viruses isolated in the Philippines and Japan	Unpublished	NCBI Virus, Genbank
