Accession	Virus	Author	Publication_Title	Journal	Database
KJ627277	RSV-B	Wentworth,D.E., Halpin,R.A., Bera,J., Lin,X., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Garcia,J., Laguna-Torres,V.A., Leguia,M., Benavides,J.G. and Halsey,E.	Direct Submission	Submitted (24-MAR-2014) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KJ627247	RSV-B	Wentworth,D.E., Halpin,R.A., Bera,J., Lin,X., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Garcia,J., Laguna-Torres,V.A., Leguia,M., Benavides,J.G. and Halsey,E.	Direct Submission	Submitted (24-MAR-2014) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KJ627332	RSV-B	Wentworth,D.E., Halpin,R.A., Bera,J., Lin,X., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Garcia,J., Laguna-Torres,V.A., Leguia,M., Benavides,J.G. and Halsey,E.	Direct Submission	Submitted (24-MAR-2014) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KJ627285	RSV-B	Wentworth,D.E., Halpin,R.A., Bera,J., Lin,X., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Garcia,J., Laguna-Torres,V.A., Leguia,M., Benavides,J.G. and Halsey,E.	Direct Submission	Submitted (24-MAR-2014) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KF826822	RSV-B	Lorenzi,H., Town,C., Halpin,R., Bera,J., Ransier,A., Fedorova,N., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Rebuffo-Scheer,C., Fan,J., He,J., Kehl,S.C., Lederboer,N., Jurgens,L.A., Bose,M.E., Beck,E.T., Kumar,S., Wentworth,D.E. and Henrickson,K.J.	Direct Submission	Submitted (19-SEP-2013) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KJ627254	RSV-B	Wentworth,D.E., Halpin,R.A., Bera,J., Lin,X., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Garcia,J., Laguna-Torres,V.A., Leguia,M., Benavides,J.G. and Halsey,E.	Direct Submission	Submitted (24-MAR-2014) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KJ627299	RSV-B	Wentworth,D.E., Halpin,R.A., Bera,J., Lin,X., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Garcia,J., Laguna-Torres,V.A., Leguia,M., Benavides,J.G. and Halsey,E.	Direct Submission	Submitted (24-MAR-2014) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KJ627280	RSV-B	Wentworth,D.E., Halpin,R.A., Bera,J., Lin,X., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Garcia,J., Laguna-Torres,V.A., Leguia,M., Benavides,J.G. and Halsey,E.	Direct Submission	Submitted (24-MAR-2014) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KJ627251	RSV-B	Wentworth,D.E., Halpin,R.A., Bera,J., Lin,X., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Garcia,J., Laguna-Torres,V.A., Leguia,M., Benavides,J.G. and Halsey,E.	Direct Submission	Submitted (24-MAR-2014) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KJ627364	RSV-B	Wentworth,D.E., Halpin,R.A., Bera,J., Lin,X., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Garcia,J., Laguna-Torres,V.A., Leguia,M., Benavides,J.G. and Halsey,E.	Direct Submission	Submitted (24-MAR-2014) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KJ627278	RSV-B	Wentworth,D.E., Halpin,R.A., Bera,J., Lin,X., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Garcia,J., Laguna-Torres,V.A., Leguia,M., Benavides,J.G. and Halsey,E.	Direct Submission	Submitted (24-MAR-2014) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KJ627262	RSV-B	Wentworth,D.E., Halpin,R.A., Bera,J., Lin,X., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Garcia,J., Laguna-Torres,V.A., Leguia,M., Benavides,J.G. and Halsey,E.	Direct Submission	Submitted (24-MAR-2014) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KJ627302	RSV-B	Wentworth,D.E., Halpin,R.A., Bera,J., Lin,X., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Garcia,J., Laguna-Torres,V.A., Leguia,M., Benavides,J.G. and Halsey,E.	Direct Submission	Submitted (24-MAR-2014) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KJ627317	RSV-B	Wentworth,D.E., Halpin,R.A., Bera,J., Lin,X., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Garcia,J., Laguna-Torres,V.A., Leguia,M., Benavides,J.G. and Halsey,E.	Direct Submission	Submitted (24-MAR-2014) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KJ627310	RSV-B	Wentworth,D.E., Halpin,R.A., Bera,J., Lin,X., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Garcia,J., Laguna-Torres,V.A., Leguia,M., Benavides,J.G. and Halsey,E.	Direct Submission	Submitted (24-MAR-2014) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KU950577	RSV-B	Das,S.R., Halpin,R.A., Shilts,M., Puri,V., Akopov,A., Fedorova,N., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S. and Hartert,T.	Direct Submission	Submitted (21-MAR-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KJ672430	RSV-B	Das,S., Halpin,R.A., Bera,J., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Hartert,T., Moore,M., Chappell,J., Larkin,E., Wentworth,D.E. and Anderson,L.J.	Direct Submission	Submitted (04-APR-2014) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KU950510	RSV-B	Das,S.R., Halpin,R.A., Shilts,M., Puri,V., Akopov,A., Fedorova,N., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S. and Hartert,T.	Direct Submission	Submitted (21-MAR-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KJ627359	RSV-B	Wentworth,D.E., Halpin,R.A., Bera,J., Lin,X., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Garcia,J., Laguna-Torres,V.A., Leguia,M., Benavides,J.G. and Halsey,E.	Direct Submission	Submitted (24-MAR-2014) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KJ939924	RSV-B	Do,L.A., Wilm,A., van Doorn,H.R., Lam,H.M., Sim,S., Sukumaran,R., Tran,A.T., Nguyen,B.H., Tran,T.T., Tran,Q.H., Vo,Q.B., Tran Dac,N.A., Trinh,H.N., Nguyen,T.T., Le Binh,B.T., Le,K., Nguyen,M.T., Thai,Q.T., Vo,T.V., Ngo,N.Q., Dang,T.K., Cao,N.H., Tran,T.V., Ho,L.V., Farrar,J., De Jong,M., Chen,S., Nagarajan,N., Bryant,J.E. and Hibberd,M.L.	Direct whole-genome deep-sequencing of human respiratory syncytial virus A and B from Vietnamese children identifies distinct patterns of inter- and intra-host evolution	J. Gen. Virol. (2015) In press	ViPR-BRC, Genbank
KU950588	RSV-B	Das,S.R., Halpin,R.A., Shilts,M., Puri,V., Akopov,A., Fedorova,N., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S. and Hartert,T.	Direct Submission	Submitted (21-MAR-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KU950619	RSV-B	Das,S.R., Halpin,R.A., Shilts,M., Puri,V., Akopov,A., Fedorova,N., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S. and Hartert,T.	Direct Submission	Submitted (21-MAR-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KJ672476	RSV-B	Das,S., Halpin,R.A., Bera,J., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Hartert,T., Moore,M., Chappell,J., Larkin,E., Wentworth,D.E. and Anderson,L.J.	Direct Submission	Submitted (04-APR-2014) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KJ939927	RSV-B	Do,L.A., Wilm,A., van Doorn,H.R., Lam,H.M., Sim,S., Sukumaran,R., Tran,A.T., Nguyen,B.H., Tran,T.T., Tran,Q.H., Vo,Q.B., Tran Dac,N.A., Trinh,H.N., Nguyen,T.T., Le Binh,B.T., Le,K., Nguyen,M.T., Thai,Q.T., Vo,T.V., Ngo,N.Q., Dang,T.K., Cao,N.H., Tran,T.V., Ho,L.V., Farrar,J., De Jong,M., Chen,S., Nagarajan,N., Bryant,J.E. and Hibberd,M.L.	Direct whole-genome deep-sequencing of human respiratory syncytial virus A and B from Vietnamese children identifies distinct patterns of inter- and intra-host evolution	J. Gen. Virol. (2015) In press	ViPR-BRC, Genbank
KJ672473	RSV-B	Das,S., Halpin,R.A., Bera,J., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Hartert,T., Moore,M., Chappell,J., Larkin,E., Wentworth,D.E. and Anderson,L.J.	Direct Submission	Submitted (04-APR-2014) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KJ672481	RSV-B	Das,S., Halpin,R.A., Bera,J., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Hartert,T., Moore,M., Chappell,J., Larkin,E., Wentworth,D.E. and Anderson,L.J.	Direct Submission	Submitted (04-APR-2014) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KJ672438	RSV-B	Das,S., Halpin,R.A., Bera,J., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Hartert,T., Moore,M., Chappell,J., Larkin,E., Wentworth,D.E. and Anderson,L.J.	Direct Submission	Submitted (04-APR-2014) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KJ672425	RSV-B	Das,S., Halpin,R.A., Bera,J., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Hartert,T., Moore,M., Chappell,J., Larkin,E., Wentworth,D.E. and Anderson,L.J.	Direct Submission	Submitted (04-APR-2014) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KM517573	RSV-B	Xie,J.H., Zhu,B., Zhong,J.Y., Chen,Y. and Zhang,Y.Y.	Genetic analysis of human respiratory syncytial virus	Unpublished	ViPR-BRC, Genbank
KJ939926	RSV-B	Do,L.A., Wilm,A., van Doorn,H.R., Lam,H.M., Sim,S., Sukumaran,R., Tran,A.T., Nguyen,B.H., Tran,T.T., Tran,Q.H., Vo,Q.B., Tran Dac,N.A., Trinh,H.N., Nguyen,T.T., Le Binh,B.T., Le,K., Nguyen,M.T., Thai,Q.T., Vo,T.V., Ngo,N.Q., Dang,T.K., Cao,N.H., Tran,T.V., Ho,L.V., Farrar,J., De Jong,M., Chen,S., Nagarajan,N., Bryant,J.E. and Hibberd,M.L.	Direct whole-genome deep-sequencing of human respiratory syncytial virus A and B from Vietnamese children identifies distinct patterns of inter- and intra-host evolution	J. Gen. Virol. (2015) In press	ViPR-BRC, Genbank
KU950530	RSV-B	Das,S.R., Halpin,R.A., Shilts,M., Puri,V., Akopov,A., Fedorova,N., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S. and Hartert,T.	Direct Submission	Submitted (21-MAR-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KU950553	RSV-B	Das,S.R., Halpin,R.A., Shilts,M., Puri,V., Akopov,A., Fedorova,N., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S. and Hartert,T.	Direct Submission	Submitted (21-MAR-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KU950656	RSV-B	Das,S.R., Halpin,R.A., Shilts,M., Puri,V., Akopov,A., Fedorova,N., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S. and Hartert,T.	Direct Submission	Submitted (21-MAR-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KU950663	RSV-B	Das,S.R., Halpin,R.A., Shilts,M., Puri,V., Akopov,A., Fedorova,N., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S. and Hartert,T.	Direct Submission	Submitted (21-MAR-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KU950488	RSV-B	Das,S.R., Halpin,R.A., Shilts,M., Puri,V., Akopov,A., Fedorova,N., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S. and Hartert,T.	Direct Submission	Submitted (21-MAR-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KM042393	RSV-B	Das,S., Halpin,R.A., Bera,J., Puri,V., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Hartert,T., Moore,M., Chappell,J., Larkin,E., Wentworth,D.E. and Anderson,L.J.	Direct Submission	Submitted (18-JUN-2014) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KU839632	RSV-B	Das,S.R., Halpin,R.A., Shilts,M., Puri,V., Akopov,A., Fedorova,N., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Wentworth,D.E. and Hartert,T.	Direct Submission	Submitted (21-FEB-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KU950516	RSV-B	Das,S.R., Halpin,R.A., Shilts,M., Puri,V., Akopov,A., Fedorova,N., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S. and Hartert,T.	Direct Submission	Submitted (21-MAR-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KU950503	RSV-B	Das,S.R., Halpin,R.A., Shilts,M., Puri,V., Akopov,A., Fedorova,N., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S. and Hartert,T.	Direct Submission	Submitted (21-MAR-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KU950688	RSV-B	Das,S.R., Halpin,R.A., Shilts,M., Puri,V., Akopov,A., Fedorova,N., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S. and Hartert,T.	Direct Submission	Submitted (21-MAR-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KU950611	RSV-B	Das,S.R., Halpin,R.A., Shilts,M., Puri,V., Akopov,A., Fedorova,N., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S. and Hartert,T.	Direct Submission	Submitted (21-MAR-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KU950533	RSV-B	Das,S.R., Halpin,R.A., Shilts,M., Puri,V., Akopov,A., Fedorova,N., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S. and Hartert,T.	Direct Submission	Submitted (21-MAR-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KU950603	RSV-B	Das,S.R., Halpin,R.A., Shilts,M., Puri,V., Akopov,A., Fedorova,N., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S. and Hartert,T.	Direct Submission	Submitted (21-MAR-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KU950681	RSV-B	Das,S.R., Halpin,R.A., Shilts,M., Puri,V., Akopov,A., Fedorova,N., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S. and Hartert,T.	Direct Submission	Submitted (21-MAR-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KU950665	RSV-B	Das,S.R., Halpin,R.A., Shilts,M., Puri,V., Akopov,A., Fedorova,N., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S. and Hartert,T.	Direct Submission	Submitted (21-MAR-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KU950543	RSV-B	Das,S.R., Halpin,R.A., Shilts,M., Puri,V., Akopov,A., Fedorova,N., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S. and Hartert,T.	Direct Submission	Submitted (21-MAR-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KU950599	RSV-B	Das,S.R., Halpin,R.A., Shilts,M., Puri,V., Akopov,A., Fedorova,N., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S. and Hartert,T.	Direct Submission	Submitted (21-MAR-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KU950606	RSV-B	Das,S.R., Halpin,R.A., Shilts,M., Puri,V., Akopov,A., Fedorova,N., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S. and Hartert,T.	Direct Submission	Submitted (21-MAR-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KU950584	RSV-B	Das,S.R., Halpin,R.A., Shilts,M., Puri,V., Akopov,A., Fedorova,N., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S. and Hartert,T.	Direct Submission	Submitted (21-MAR-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KU950675	RSV-B	Das,S.R., Halpin,R.A., Shilts,M., Puri,V., Akopov,A., Fedorova,N., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S. and Hartert,T.	Direct Submission	Submitted (21-MAR-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KU950659	RSV-B	Das,S.R., Halpin,R.A., Shilts,M., Puri,V., Akopov,A., Fedorova,N., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S. and Hartert,T.	Direct Submission	Submitted (21-MAR-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KU950489	RSV-B	Das,S.R., Halpin,R.A., Shilts,M., Puri,V., Akopov,A., Fedorova,N., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S. and Hartert,T.	Direct Submission	Submitted (21-MAR-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KU950630	RSV-B	Das,S.R., Halpin,R.A., Shilts,M., Puri,V., Akopov,A., Fedorova,N., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S. and Hartert,T.	Direct Submission	Submitted (21-MAR-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KU950695	RSV-B	Das,S.R., Halpin,R.A., Shilts,M., Puri,V., Akopov,A., Fedorova,N., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S. and Hartert,T.	Direct Submission	Submitted (21-MAR-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KU950625	RSV-B	Das,S.R., Halpin,R.A., Shilts,M., Puri,V., Akopov,A., Fedorova,N., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S. and Hartert,T.	Direct Submission	Submitted (21-MAR-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KU950602	RSV-B	Das,S.R., Halpin,R.A., Shilts,M., Puri,V., Akopov,A., Fedorova,N., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S. and Hartert,T.	Direct Submission	Submitted (21-MAR-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KU950693	RSV-B	Das,S.R., Halpin,R.A., Shilts,M., Puri,V., Akopov,A., Fedorova,N., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S. and Hartert,T.	Direct Submission	Submitted (21-MAR-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KU950467	RSV-B	Das,S.R., Halpin,R.A., Shilts,M., Puri,V., Akopov,A., Fedorova,N., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S. and Hartert,T.	Direct Submission	Submitted (21-MAR-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KU950586	RSV-B	Das,S.R., Halpin,R.A., Shilts,M., Puri,V., Akopov,A., Fedorova,N., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S. and Hartert,T.	Direct Submission	Submitted (21-MAR-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KR350475	RSV-B	Munoz-Medina,J.E., Monroy-Munoz,I.E., Santos Coy-Arechavaleta,A., Meza-Chavez,A., Angeles-Martinez,J., Anguiano-Hernandez,Y.M., Santacruz-Tinoco,C.E., Gonzalez-Ibarra,J., Martinez-Miguel,B., Alvarado-Yaah,J.E., Palomec-Nava,I.D., Ortiz-Alcantara,J.M., Garces-Ayala,F., Ramirez-Gonzalez,J.E., Diaz-Quinonez,J.A. and Gonzalez-Bonilla,C.R.	Complete Genome Sequence of Human Respiratory Syncytial Virus Isolated in Mexico	Genome Announc 4 (1) (2016)	ViPR-BRC, Genbank
KU950476	RSV-B	Das,S.R., Halpin,R.A., Shilts,M., Puri,V., Akopov,A., Fedorova,N., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S. and Hartert,T.	Direct Submission	Submitted (21-MAR-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KU950558	RSV-B	Das,S.R., Halpin,R.A., Shilts,M., Puri,V., Akopov,A., Fedorova,N., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S. and Hartert,T.	Direct Submission	Submitted (21-MAR-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KU950601	RSV-B	Das,S.R., Halpin,R.A., Shilts,M., Puri,V., Akopov,A., Fedorova,N., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S. and Hartert,T.	Direct Submission	Submitted (21-MAR-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KU950462	RSV-B	Das,S.R., Halpin,R.A., Shilts,M., Puri,V., Akopov,A., Fedorova,N., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S. and Hartert,T.	Direct Submission	Submitted (21-MAR-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KU950539	RSV-B	Das,S.R., Halpin,R.A., Shilts,M., Puri,V., Akopov,A., Fedorova,N., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S. and Hartert,T.	Direct Submission	Submitted (21-MAR-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
