Accession	Virus	Strain	Segment	Originating_lab	Submitting_lab	Database
EPI221557	h3n2	A/Cheongju/H383/2007	ha		Other Database Import	GISAID
EPI326345	h3n2	A/Guangdong/93/2008	ha		Other Database Import	GISAID
EPI169160	h3n2	A/Tochigi/88/2008	ha		National Institute Of Infectious Diseases (niid)	GISAID
EPI175151	h3n2	A/HongKong/3049/2008	ha		Centers For Disease Control And Prevention	GISAID
EPI169086	h3n2	A/Chiba/84/2008	ha		National Institute Of Infectious Diseases (niid)	GISAID
EPI172432	h3n2	A/CostaRica/7172/2008	ha	Laboratorio Nacional De Influenza	Centers For Disease Control And Prevention	GISAID
EPI187402	h3n2	A/Yokohama/107/2009	ha		National Institute Of Infectious Diseases (niid)	GISAID
EPI168629	h3n2	A/California/9/2008	ha		Centers For Disease Control And Prevention	GISAID
EPI211546	h3n2	A/Johannesburg/15/2008	ha	National Institute For Communicable Disease	National Institute For Medical Research	GISAID
EPI703220	h3n2	A/Thailand/MR07094/2007	ha		Other Database Import	GISAID
EPI172210	h3n2	A/Tasmania/201/2008	ha	Royal Hobart Hospital	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI219906	h3n2	A/Cheongju/H397/2008	ha		Other Database Import	GISAID
EPI238711	h3n2	A/Gothenburg/3/2009	ha	Swedish Institute For Infectious Disease Control	Swedish Institute For Infectious Disease Control	GISAID
EPI299566	h3n2	A/MinasGerais/11404/2009	ha		Other Database Import	GISAID
EPI168573	h3n2	A/Moscow/118/2008	ha		Centers For Disease Control And Prevention	GISAID
EPI608130	h3n2	A/HeilongjiangQiqiharJianhua/172/2010	ha		Other Database Import	GISAID
EPI211734	h3n2	A/SuratThani/72/2009	ha	Who National Influenza Centre, National Institute Of Medical Research (nimr)	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI355338	h3n2	A/HoaBinh/HB409/2007	ha		Other Database Import	GISAID
EPI245709	h3n2	A/Stockholm/25/2008	ha	Swedish Institute For Infectious Disease Control	Swedish Institute For Infectious Disease Control	GISAID
EPI362343	h3n2	A/Netherlands/377/2008	ha		Other Database Import	GISAID
EPI169116	h3n2	A/Yokohama/94/2008	ha		National Institute Of Infectious Diseases (niid)	GISAID
EPI163137	h3n2	A/Thailand/419/2008	ha		Centers For Disease Control And Prevention	GISAID
EPI535428	h3n2	A/Paris/2030/2008	ha		Institut Pasteur	GISAID
EPI703254	h3n2	A/Thailand/SN07100/2007	ha		Other Database Import	GISAID
EPI161551	h3n2	A/Ohio/11/2008	ha		Other Database Import	GISAID
EPI157751	h3n2	A/HongKong/4758/2007	ha		Centers For Disease Control And Prevention	GISAID
EPI215112	h3n2	A/Moldova/169/2009	ha	National Centre For Preventive Medicine	National Institute For Medical Research	GISAID
EPI176481	h3n2	A/Victoria/502/2009	ha	Monash Medical Centre	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI230520	h3n2	A/Novosibirsk/31/2009	ha		Other Database Import	GISAID
EPI444783	h3n2	A/Taiwan/424/2008	ha		Other Database Import	GISAID
EPI168601	h3n2	A/Waikato/17/2008	ha		Centers For Disease Control And Prevention	GISAID
EPI371257	h3n2	A/Maracay/FLA6553/2009	ha		Other Database Import	GISAID
EPI193936	h3n2	A/Colombia/227/2009	ha	Instituto Nacional De Salud De Columbia	Centers For Disease Control And Prevention	GISAID
EPI609704	h3n2	A/Perth/5/2008	ha	Pathwest Qe Ii Medical Centre	Other Database Import	GISAID
EPI215094	h3n2	A/Tehran/93/2008	ha	Tehran University Of Medical Sciences	National Institute For Medical Research	GISAID
EPI325737	h3n2	A/Kyrgyzstan/WRAIR1255P/2008	ha		Other Database Import	GISAID
EPI164602	h3n2	A/Thuringen/2202/2008	ha		Other Database Import	GISAID
EPI162515	h3n2	A/Sydney/2/2008	ha	Westmead Hospital	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI161700	h3n2	A/Sydney/2001/2008	ha	Queensland Health Scientific Services	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI172428	h3n2	A/Christchurch/19/2008	ha		Centers For Disease Control And Prevention	GISAID
EPI211328	h3n2	A/Japan/26/2009	ha	Naval Health Research Center	Centers For Disease Control And Prevention	GISAID
EPI211741	h3n2	A/Brisbane/52/2009	ha	Queensland Health Scientific Services	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI1868484	h3n2	A/HaNam/EL201/2009	ha	Pasteur Institute, Influenza Laboratory	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI232523	h3n2	A/CaymanIslands/9266/2009	ha	Caribbean Epidemiology Center	Centers For Disease Control And Prevention	GISAID
EPI271537	h3n2	A/Acre/26954/2010	ha		Other Database Import	GISAID
EPI271536	h3n2	A/Acre/15093/2010	ha		Other Database Import	GISAID
EPI279999	h3n2	A/Brazil/610/2010	ha	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	Centers For Disease Control And Prevention	GISAID
EPI294004	h3n2	A/Argentina/27724/2010	ha	Instituto Nacional De Enfermedades Infecciosas	National Institute For Medical Research	GISAID
EPI270303	h3n2	A/NewYork/5/2010	ha	New York City Department Of Health	Centers For Disease Control And Prevention	GISAID
EPI393818	h3n2	A/Gyeonggi/3079/2009	ha		Other Database Import	GISAID
EPI182941	h3n2	A/Perth/16/2009	ha	Pathwest Qe Ii Medical Centre	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI269927	h3n2	A/Perth/673/2009	ha	Pathwest Qe Ii Medical Centre	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI210943	h3n2	A/Utsunomiya/3/2009	ha	Utsunomiya City Institute Of Public Health And Environment Science	National Institute Of Infectious Diseases (niid)	GISAID
EPI187688	h3n2	A/Shizuoka/791/2009	ha		National Institute Of Infectious Diseases (niid)	GISAID
EPI210073	h3n2	A/Macedonia/622/2009	ha	Republic Institute For Health Protection	National Institute For Medical Research	GISAID
EPI270335	h3n2	A/Pennsylvania/5/2010	ha	Pennsylvania Department Of Health	Centers For Disease Control And Prevention	GISAID
EPI232526	h3n2	A/CostaRica/3090/2009	ha	Laboratorio Nacional De Influenza	Centers For Disease Control And Prevention	GISAID
EPI339455	h3n2	A/Singapore/GP3303/2009	ha		Other Database Import	GISAID
EPI210292	h3n2	A/Morobe/10/2009	ha	Central Public Health Laboratory	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI232511	h3n2	A/Bhutan/151/2009	ha	Thailand Moph U.s. Cdc Collaboration (ieip)	Centers For Disease Control And Prevention	GISAID
EPI272105	h3n2	A/NordrheinWestfalen/1/2010	ha	Robert Koch Institute	National Institute For Medical Research	GISAID
EPI287114	h3n2	A/Ghana/FS-10-3811/2010	ha	University Of Ghana	National Institute For Medical Research	GISAID
EPI287137	h3n2	A/Ghana/FS-376/2010	ha	University Of Ghana	National Institute For Medical Research	GISAID
EPI287135	h3n2	A/Ghana/FS-271/2010	ha	University Of Ghana	National Institute For Medical Research	GISAID
EPI210103	h3n2	A/Norway/1759/2009	ha	Who National Influenza Centre	National Institute For Medical Research	GISAID
EPI272025	h3n2	A/SuratThani/269/2010	ha	Who National Influenza Centre, National Institute Of Medical Research (nimr)	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI232602	h3n2	A/SuratThani/559/2009	ha	Who National Influenza Centre, National Institute Of Medical Research (nimr)	Centers For Disease Control And Prevention	GISAID
EPI272019	h3n2	A/SuratThani/116/2010	ha	Who National Influenza Centre, National Institute Of Medical Research (nimr)	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI234599	h3n2	A/Nagano-C/121/2009	ha	Nagano City Health Center	National Institute Of Infectious Diseases (niid)	GISAID
EPI293832	h3n2	A/TianjinHexi/1266/2010	ha	Who Chinese National Influenza Center	Who Chinese National Influenza Center	GISAID
EPI293792	h3n2	A/TianjinHexi/18/2010	ha	Who Chinese National Influenza Center	Who Chinese National Influenza Center	GISAID
EPI214974	h3n2	A/Iran/755/2009	ha	Tehran University Of Medical Sciences	National Institute For Medical Research	GISAID
EPI214976	h3n2	A/Lithuania/142K/2009	ha	Lithuanian Aids Center Laboratory	National Institute For Medical Research	GISAID
EPI293808	h3n2	A/TianjinNankai/1842/2010	ha	Who Chinese National Influenza Center	Who Chinese National Influenza Center	GISAID
EPI279625	h3n2	A/Tochigi/99/2010	ha	Tochigi Prefectural Institute Of Public Health And Environmental Science	National Institute Of Infectious Diseases (niid)	GISAID
EPI278714	h3n2	A/Sendai-H/N337/2010	ha		National Institute Of Infectious Diseases (niid)	GISAID
EPI325817	h3n2	A/Belgrade/WRAIR2379N/2010	ha		Other Database Import	GISAID
EPI367621	h3n2	A/Vladivostok/11/2010	ha		Other Database Import	GISAID
EPI279935	h3n2	A/Stockholm/4/2010	ha	Swedish Institute For Infectious Disease Control	Swedish Institute For Infectious Disease Control	GISAID
EPI298418	h3n2	A/Niigata/1149/2010	ha		Other Database Import	GISAID
EPI342624	h3n2	A/Novosibirsk/1832/2011	ha		Other Database Import	GISAID
EPI174799	h3n2	A/Victoria/542/2008	ha	Monash Medical Centre	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI172414	h3n2	A/Idaho/17/2008	ha		Centers For Disease Control And Prevention	GISAID
EPI325761	h3n2	A/Guam/WRAIR1557P/2009	ha		Other Database Import	GISAID
EPI325801	h3n2	A/MexicoCity/WRAIR1752T/2010	ha		Other Database Import	GISAID
EPI193945	h3n2	A/Suriname/5163/2009	ha	Caribbean Epidemiology Center	Centers For Disease Control And Prevention	GISAID
EPI185820	h3n2	A/Thailand/860/2008	ha		Centers For Disease Control And Prevention	GISAID
EPI160583	h3n2	A/Johannesburg/5/2008	ha	National Institute For Communicable Disease	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI313837	h3n2	A/Uganda/MUWRP-052/2008	ha		Other Database Import	GISAID
EPI214990	h3n2	A/Madagascar/878/2009	ha	Institut Pasteur De Madagascar	National Institute For Medical Research	GISAID
EPI215037	h3n2	A/Poitiers/1341/2008	ha	Crr Virus Influenza Region Sud	National Institute For Medical Research	GISAID
EPI169252	h3n2	A/NewYork/33/2008	ha		Centers For Disease Control And Prevention	GISAID
EPI172442	h3n2	A/Guam/7124/2008	ha		Centers For Disease Control And Prevention	GISAID
EPI163231	h3n2	A/NewYork/28/2008	ha		Centers For Disease Control And Prevention	GISAID
EPI169743	h3n2	A/Taiwan/599/2008	ha		National Institute Of Infectious Diseases (niid)	GISAID
EPI211361	h3n2	A/Brazil/884/2009	ha	National Influenza Center	Centers For Disease Control And Prevention	GISAID
EPI211343	h3n2	A/Brazil/1814/2009	ha	Instituto Adolfo Lutz	Centers For Disease Control And Prevention	GISAID
EPI325777	h3n2	A/Kuwait/WRAIR1561P/2009	ha		Other Database Import	GISAID
EPI215138	h3n2	A/StPetersburg/124/2009	ha	Russian Academy Of Medical Sciences	National Institute For Medical Research	GISAID
EPI371256	h3n2	A/Maracay/FLA6594/2009	ha		Other Database Import	GISAID
EPI269875	h3n2	A/Victoria/245/2009	ha	Who Collaborating Centre For Reference And Research On Influenza	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI211373	h3n2	A/Bangladesh/7772/2009	ha	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)	Centers For Disease Control And Prevention	GISAID
EPI243583	h3n2	A/Kuwait/4562/2009	ha	U.s. Air Force School Of Aerospace Medicine	Centers For Disease Control And Prevention	GISAID
EPI316918	h3n2	A/Toyama/95/2010	ha	Toyama Institute Of Health	National Institute Of Infectious Diseases (niid)	GISAID
EPI302201	h3n2	A/HongKong/6927/2010	ha	Government Virus Unit	National Institute For Medical Research	GISAID
EPI1868549	h3n2	A/HaNam/EL444/2010	ha	National Institute Of Hygiene And Epidemiology (nihe)	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI301360	h3n2	A/England/3940462/2010	ha	Health Protection Agency	National Institute For Medical Research	GISAID
EPI392322	h3n2	A/Torino/1/2011	ha	Istituto Superiore Di Sanità	National Institute For Medical Research	GISAID
EPI357672	h3n2	A/Victoria/714/2011	ha	Monash Medical Centre	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI319248	h3n2	A/Ireland/11M27357/2011	ha	National Virus Reference Laboratory	National Institute For Medical Research	GISAID
EPI295236	h3n2	A/Bangladesh/8004/2010	ha	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)	Centers For Disease Control And Prevention	GISAID
EPI326308	h3n2	A/Minnesota/12/2011	ha	Minnesota Department Of Health	Centers For Disease Control And Prevention	GISAID
EPI336898	h3n2	A/Wakayama/154/2011	ha	Wakayama Prefectural Research Center Of Environment And Public Health	National Institute Of Infectious Diseases (niid)	GISAID
EPI539347	h3n2	A/Guangdong/174/2011	ha		Other Database Import	GISAID
EPI339417	h3n2	A/Singapore/GP4453/2010	ha		Other Database Import	GISAID
EPI380899	h3n2	A/Singapore/GP380/2011	ha		Other Database Import	GISAID
EPI325993	h3n2	A/Moscow/WRAIR4307N/2011	ha		Other Database Import	GISAID
EPI331414	h3n2	A/Townsville/20/2011	ha	Queensland Health Scientific Services	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI319302	h3n2	A/Romania/55656/2011	ha	Cantacuzino Institute	National Institute For Medical Research	GISAID
EPI278787	h3n2	A/Chile/6380/2010	ha	Instituto De Salud Publica De Chile 	Centers For Disease Control And Prevention	GISAID
EPI309369	h3n2	A/Ulaanbaatar/3849/2010	ha	National Center For Communicable Diseases	Centers For Disease Control And Prevention	GISAID
EPI309435	h3n2	A/HongKong/6940/2010	ha	Government Virus Unit	Centers For Disease Control And Prevention	GISAID
EPI339411	h3n2	A/Singapore/GP4664/2010	ha		Other Database Import	GISAID
EPI535559	h3n2	A/Paris/1477/2010	ha		Institut Pasteur	GISAID
EPI703270	h3n2	A/Thailand/SN10452/2010	ha		Other Database Import	GISAID
EPI352807	h3n2	A/Esfahan/8343/2011	ha	Tehran University Of Medical Sciences	National Institute For Medical Research	GISAID
EPI379585	h3n2	A/Victoria/802/2012	ha	Austin Health	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI377287	h3n2	A/Dnipro/194/2012	ha	Institute Of Epidemiology And Infectious Diseases Ams Of Ukraine	National Institute For Medical Research	GISAID
EPI494887	h3n2	A/Peru/PER096/2012	ha		Other Database Import	GISAID
EPI497347	h3n2	A/Peru/PER356/2012	ha		Other Database Import	GISAID
EPI494348	h3n2	A/Peru/PER018/2012	ha		Other Database Import	GISAID
EPI401743	h3n2	A/Peru/1026/2012	ha	Us Namru 6	Centers For Disease Control And Prevention	GISAID
EPI302389	h3n2	A/Townsville/86/2010	ha	Queensland Health Scientific Services	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI319278	h3n2	A/Madagascar/751/2011	ha	Institut Pasteur De Madagascar	National Institute For Medical Research	GISAID
EPI346617	h3n2	A/Madagascar/1147/2011	ha	Institut Pasteur De Madagascar	National Institute For Medical Research	GISAID
EPI346613	h3n2	A/Madagascar/2269/2011	ha	Institut Pasteur De Madagascar	National Institute For Medical Research	GISAID
EPI302376	h3n2	A/Townsville/105/2010	ha	Queensland Health Scientific Services	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI332681	h3n2	A/Townsville/73/2011	ha	Queensland Health Scientific Services	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI331486	h3n2	A/Townsville/48/2011	ha	Queensland Health Scientific Services	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI996245	h3n2	A/PortoAlegre/LACENRS-557/2011	ha		Other Database Import	GISAID
EPI339293	h3n2	A/Sergipe/176/2011	ha		Other Database Import	GISAID
EPI347697	h3n2	A/Hiroshima-C/53/2011	ha	Hiroshima City Institute Of Public Health	National Institute Of Infectious Diseases (niid)	GISAID
EPI407066	h3n2	A/BuenosAires/1105/2012	ha	Servicio De Virosis Respiratorias Inei Anlis Carlos G. Malbran	Malbran	GISAID
EPI426071	h3n2	A/Israel/10/2012	ha	Central Virology Laboratory Israel (nic)	National Institute For Medical Research	GISAID
EPI405954	h3n2	A/Norway/1443/2012	ha	Who National Influenza Centre	National Institute For Medical Research	GISAID
EPI211367	h3n2	A/Bangladesh/483/2009	ha	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)	Centers For Disease Control And Prevention	GISAID
EPI254577	h3n2	A/Afghanistan/2950/2009	ha	U.s. Air Force School Of Aerospace Medicine	Centers For Disease Control And Prevention	GISAID
EPI271970	h3n2	A/Westernsepik/20/2009	ha	Papua New Guinea Institute Of Medical Research	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI254595	h3n2	A/Ethiopia/35/2009	ha	Ethiopian Health And Nutrition Research Institute (ehnri)	Centers For Disease Control And Prevention	GISAID
EPI232568	h3n2	A/Kenya/4408/2009	ha	Cdc Kenya	Centers For Disease Control And Prevention	GISAID
EPI426969	h3n2	A/Tennessee/15/2009	ha		Other Database Import	GISAID
EPI325865	h3n2	A/SantoDomingo/WRAIR3516T/2010	ha		Other Database Import	GISAID
EPI272541	h3n2	A/Kanagawa/262/2009	ha	Kanagawa Prefectural Institute Of Public Health	National Institute Of Infectious Diseases (niid)	GISAID
EPI232638	h3n2	A/India/483/2009	ha	National Institute Of Virology	Centers For Disease Control And Prevention	GISAID
EPI538943	h3n2	A/Mumbai/3983/2009	ha		Other Database Import	GISAID
EPI476949	h3n2	A/Djibouti/N09200/2009	ha		Other Database Import	GISAID
EPI232532	h3n2	A/Florida/26/2009	ha	Florida Department Of Health Jacksonville	Centers For Disease Control And Prevention	GISAID
EPI272119	h3n2	A/Israel/24/2009	ha	Central Virology Laboratory Israel (nic)	National Institute For Medical Research	GISAID
EPI272115	h3n2	A/Norway/3789/2009	ha	Who National Influenza Centre	National Institute For Medical Research	GISAID
EPI238693	h3n2	A/Stockholm/91/2009	ha	Swedish Institute For Infectious Disease Control	Swedish Institute For Infectious Disease Control	GISAID
EPI270350	h3n2	A/Italy/540/2010	ha	U.s. Air Force School Of Aerospace Medicine	Centers For Disease Control And Prevention	GISAID
EPI400061	h3n2	A/Kenya/152/2011	ha	Us Army Medical Research Unit   Kenya (usamru K), Geis Human Influenza Program	Usamru K	GISAID
EPI270356	h3n2	A/Kenya/1632/2010	ha	Cdc Kenya	Centers For Disease Control And Prevention	GISAID
EPI1604874	h3n2	A/Kilifi/132/2010	ha	Kemri Wellcome Trust Research Programme Cgmrc	Kemri Wellcome Trust Research Programme (kwtrp)	GISAID
EPI309735	h3n2	A/Murcia/RR6923/2010	ha	Instituto De Salud Carlos Iii	National Institute For Medical Research	GISAID
EPI497361	h3n2	A/Peru/PER362/2011	ha		Other Database Import	GISAID
EPI279195	h3n2	A/Brisbane/31/2010	ha	Queensland Health Scientific Services	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI335730	h3n2	A/Johannesburg/113/2011	ha	National Institute For Communicable Disease	National Institute For Medical Research	GISAID
EPI405940	h3n2	A/Johannesburg/3495/2012	ha	Sandringham, National Institute For Communicable D	National Institute For Medical Research	GISAID
EPI335720	h3n2	A/Johannesburg/79/2011	ha	National Institute For Communicable Disease	National Institute For Medical Research	GISAID
EPI335728	h3n2	A/Johannesburg/153/2011	ha	National Institute For Communicable Disease	National Institute For Medical Research	GISAID
EPI400074	h3n2	A/Kenya/223/2012	ha	Us Army Medical Research Unit   Kenya (usamru K), Geis Human Influenza Program	Usamru K	GISAID
EPI407094	h3n2	A/Kenya/136/2012	ha	Cdc Kenya	Centers For Disease Control And Prevention	GISAID
EPI384806	h3n2	A/Kenya/119/2012	ha	Cdc Kenya	Centers For Disease Control And Prevention	GISAID
EPI234435	h3n2	A/Toronto/H42220/2009	ha		Other Database Import	GISAID
EPI302209	h3n2	A/Madagascar/6459/2010	ha	Institut Pasteur De Madagascar	National Institute For Medical Research	GISAID
EPI272547	h3n2	A/Kumamoto/22/2010	ha	Kumamoto Prefectural Institute Of Public Health And Environmental Science	National Institute Of Infectious Diseases (niid)	GISAID
EPI538949	h3n2	A/Mumbai/3067/2009	ha		Other Database Import	GISAID
EPI331437	h3n2	A/Victoria/1035/2010	ha		Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI279171	h3n2	A/Srilanka/7/2010	ha	Medical Research Institute	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI279104	h3n2	A/Srilanka/3/2010	ha	Medical Research Institute	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI538942	h3n2	A/Mumbai/5420/2010	ha		Other Database Import	GISAID
EPI295098	h3n2	A/ChongqingBanan/1286/2010	ha	Who Chinese National Influenza Center	Centers For Disease Control And Prevention	GISAID
EPI316065	h3n2	A/India/3254/2010	ha	National Institute Of Virology	Centers For Disease Control And Prevention	GISAID
EPI380901	h3n2	A/Singapore/GP429/2011	ha		Other Database Import	GISAID
EPI333052	h3n2	A/Brisbane/159/2011	ha	Queensland Health Scientific Services	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI439795	h3n2	A/Riyadh/1/2010	ha		Other Database Import	GISAID
EPI279887	h3n2	A/Madagascar/153/2010	ha	Institut Pasteur De Madagascar	National Institute For Medical Research	GISAID
EPI279877	h3n2	A/Norway/4916/2009	ha	Who National Influenza Centre	National Institute For Medical Research	GISAID
EPI287122	h3n2	A/Stockholm/2/2010	ha	Swedish Institute For Infectious Disease Control	National Institute For Medical Research	GISAID
EPI279619	h3n2	A/Niigata-C/38/2010	ha	Niigata City Institute Of Public Health And Environment	National Institute Of Infectious Diseases (niid)	GISAID
EPI272553	h3n2	A/Kobe/90693/2010	ha	Kobe Institute Of Health	National Institute Of Infectious Diseases (niid)	GISAID
EPI279180	h3n2	A/Perth/519/2010	ha	Princess Margaret Hospital For Children	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI276909	h3n2	A/Brisbane/11/2010	ha	Who Collaborating Centre For Reference And Research On Influenza	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI309703	h3n2	A/Cameroon/CAM13609HIN/2010	ha	Centre Pasteur Du Cameroun	National Institute For Medical Research	GISAID
EPI319202	h3n2	A/Algeria/G218/2010	ha	Institut Pasteur D'algerie	National Institute For Medical Research	GISAID
EPI320174	h3n2	A/Malmo/10/2011	ha		Swedish Institute For Infectious Disease Control	GISAID
EPI445858	h3n2	A/Cameroon/12V-4222/2012	ha	Centre Pasteur Du Cameroun	National Institute For Medical Research	GISAID
EPI352740	h3n2	A/Adjame/GR765/2011	ha	Pasteur Institut Of Côte D'ivoire	National Institute For Medical Research	GISAID
EPI417303	h3n2	A/Victoria/469/2012	ha	Disease Investigation Centre Wates (bbvw)	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI434623	h3n2	A/Perth/296/2012	ha	Pathwest Qe Ii Medical Centre	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI370144	h3n2	A/Brisbane/417/2011	ha	Queensland Health Scientific Services	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI376849	h3n2	A/Brisbane/11/2012	ha	Queensland Health Scientific Services	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI530830	h3n2	A/Lebanon/11L007/2011	ha		Other Database Import	GISAID
EPI436285	h3n2	A/Nigeria/5402/2012	ha	National Influenza Reference Laboratory	Centers For Disease Control And Prevention	GISAID
EPI340909	h3n2	A/Alaska/17/2011	ha	Alaska State Virology Lab	Centers For Disease Control And Prevention	GISAID
EPI335903	h3n2	A/HongKong/3974/2011	ha	Government Virus Unit	Centers For Disease Control And Prevention	GISAID
EPI378277	h3n2	A/Chiba-C/23/2012	ha	Chiba City Institute Of Health And Environment	National Institute Of Infectious Diseases (niid)	GISAID
EPI341635	h3n2	A/Norway/2065/2011	ha	Haukeland University Hospital, Dept. Of Microbiology 	Norwegian Institute Of Public Health	GISAID
EPI396162	h3n2	A/Peru/1339/2012	ha	Namru 6	Centers For Disease Control And Prevention	GISAID
EPI347521	h3n2	A/Montana/8/2011	ha	Montana Public Health Laboratory	Centers For Disease Control And Prevention	GISAID
EPI395233	h3n2	A/DominicanRepublic/6524/2012	ha	Laboratorio De Investigacion / Centro De Educacion Medica Y Amistad Dominico Japones (cemadoja)	Centers For Disease Control And Prevention	GISAID
EPI347469	h3n2	A/Bangladesh/5006/2011	ha	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)	Centers For Disease Control And Prevention	GISAID
EPI985060	h3n2	A/Bangladesh/4/2012	ha		Other Database Import	GISAID
EPI985057	h3n2	A/Bangladesh/1/2012	ha		Other Database Import	GISAID
EPI335872	h3n2	A/Bangladesh/5071/2011	ha	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)	Centers For Disease Control And Prevention	GISAID
EPI394256	h3n2	A/Philippines/3/2012	ha	Research Institute Of Tropical Medicine	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI394322	h3n2	A/Cambodia/31/2012	ha	Namru 2, Cambodia	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI466963	h3n2	A/Maevatanana/563/2013	ha	Institut Pasteur De Madagascar	National Institute For Medical Research	GISAID
EPI406063	h3n2	A/Bangladesh/1621/2012	ha	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)	Centers For Disease Control And Prevention	GISAID
EPI394155	h3n2	A/Southauckland/1/2012	ha	Institute Of Environmental Science And Research	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI371975	h3n2	A/Santiago/3564/2012	ha	Instituto De Salud Publica De Chile 	Centers For Disease Control And Prevention	GISAID
EPI338321	h3n2	A/Stockholm/22/2011	ha	Swedish Institute For Infectious Disease Control	Swedish Institute For Infectious Disease Control	GISAID
EPI378094	h3n2	A/Bahrain/38/2011	ha	Ministry Of Health Bahrain	Centers For Disease Control And Prevention	GISAID
EPI358969	h3n2	A/Jordan/20110030655/2011	ha	Laboratory Directorate	National Institute For Medical Research	GISAID
EPI394963	h3n2	A/Yokohama/148/2012	ha	Yokohama City Institute Of Public Health.	National Institute Of Infectious Diseases (niid)	GISAID
EPI352757	h3n2	A/Tiznit/167/2011	ha	Institut National D'hygi&egrave;ne	National Institute For Medical Research	GISAID
EPI341586	h3n2	A/Oman/916/2011	ha	Central Public Health Laboratory, Ministry Of Health	Centers For Disease Control And Prevention	GISAID
EPI335896	h3n2	A/Georgia/8/2011	ha	Georgia Public Health Laboratory	Centers For Disease Control And Prevention	GISAID
EPI333139	h3n2	A/Stockholm/21/2011	ha		Swedish Institute For Infectious Disease Control	GISAID
EPI353492	h3n2	A/HongKong/5063/2011	ha	Government Virus Unit	Centers For Disease Control And Prevention	GISAID
EPI387787	h3n2	A/India/1240/2012	ha	National Institute Of Virology	Centers For Disease Control And Prevention	GISAID
EPI497266	h3n2	A/Peru/PER343/2011	ha		Other Database Import	GISAID
EPI355981	h3n2	A/India/7459/2011	ha	National Institute Of Virology	Centers For Disease Control And Prevention	GISAID
EPI566475	h3n2	A/SouthAustralia/12/2012	ha	Institute Of Medical And Veterinary Science (imvs)	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI406185	h3n2	A/Osaka/58/2012	ha	Osaka Prefectural Institute Of Public Health	National Institute Of Infectious Diseases (niid)	GISAID
EPI394182	h3n2	A/Southauckland/7/2012	ha	Institute Of Environmental Science And Research	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI671855	h3n2	A/India/KL1118168/2011	ha		Other Database Import	GISAID
EPI348411	h3n2	A/Saitama-C/140/2011	ha	Saitama City Institute Of Health  Science And Research	National Institute Of Infectious Diseases (niid)	GISAID
EPI380975	h3n2	A/Singapore/KK564/2011	ha		Other Database Import	GISAID
